key,name,pos,team,bye,std,half_ppr,ppr,rush_yds,df_points_allowed_per_game,rush_tds,df_sacks,pass_yds,reception_tds,reception_yds,kick_extra_points,pass_ints,kick_30_39,fumbles,kick_40_49,df_fumbles,df_ints,kick_20_29,kick_0_19,df_tds,receptions,pass_tds,df_safeties,kick_50,two_pts
snell_RB_PIT,Benny Snell Jr.,RB,PIT,8,248.0,228.5,226.0,453.4,,3.1,,,0.4,62.9,,,,1.0,,,,,,,7.9,,,,0.0
claypool_WR_PIT,Chase Claypool,WR,PIT,8,249.0,249.0,240.0,5.6,,0.0,,,2.8,448.6,,0.0,,0.5,,,,,,,34.1,,,,
crosby_K_GB,Mason Crosby,K,GB,5,250.0,221.0,226.3,,,,,,,,39.2,,7.6,,7.8,,,6.1,0.3,,,,,3.2,
isabella_WR_ARI,Andy Isabella,WR,ARI,8,251.0,255.0,252.0,18.0,,0.0,,,1.5,250.4,,,,0.0,,,,,,0.2,19.0,,,,
reynolds_WR_LAR,Josh Reynolds,WR,LAR,9,252.0,263.0,257.0,32.2,,0.0,,,2.6,461.5,,0.0,,0.0,,,,,,,34.2,,,,
packers_DST_GB,Packers,DST,GB,5,253.0,222.0,249.7,,22.5,,39.9,,,,,,,9.8,,9.8,15.3,,,1.8,,,0.8,,
njoku_TE_CLE,David Njoku,TE,CLE,9,254.0,260.0,257.5,0.5,,0.0,,,2.5,335.4,,0.0,,0.0,,,,,,,28.9,,,,
dissly_TE_SEA,Will Dissly,TE,SEA,6,255.0,270.0,251.7,2.2,,0.0,,,3.4,341.2,,,,0.0,,,,,,,26.6,,,,
sternberger_TE_GB,Jace Sternberger,TE,GB,5,256.0,254.0,256.0,0.5,,0.0,,,2.8,265.9,,0.0,,0.0,,,,,,,26.5,,,,
cowboys_DST_DAL,Cowboys,DST,DAL,10,257.0,266.0,221.3,,21.2,,40.5,,,,,,,11.4,,11.4,13.3,,,2.1,,,0.3,,
haskins_QB_WSH,Dwayne Haskins,QB,WSH,8,258.0,282.0,252.5,151.2,,0.9,,3258.8,,,,15.2,,2.0,,,,,,,,17.7,,,1.6
mcmanus_K_DEN,Brandon McManus,K,DEN,8,259.0,267.0,250.3,,,,,,,,34.8,,7.6,,9.0,,,6.7,0.4,,,,,4.1,
hyde_RB_SEA,Carlos Hyde,RB,SEA,6,261.0,229.0,226.5,325.9,,2.0,,,0.1,42.9,,,,0.8,,,,,,,6.6,,,,0.0
smith_WR_NO,Tre'Quan Smith,WR,NO,6,262.0,278.0,273.0,1.2,,0.0,,,3.6,348.2,,0.0,,0.0,,,,,,,24.5,,,,
seibert_K_CLE,Austin Seibert,K,CLE,9,263.0,244.0,263.0,,,,,,,,35.7,,9.6,,9.0,,,7.1,0.4,,,,,3.0,
graham_TE_CHI,Jimmy Graham,TE,CHI,11,265.0,201.5,237.7,0.8,,0.0,,,2.4,482.4,,0.0,,0.0,,,,,,,42.8,,,,
smith_RB_ATL,Ito Smith,RB,ATL,10,266.0,283.0,249.0,273.0,,2.8,,,0.6,150.8,,,,0.6,,,,,,,22.9,,,,0.0
richard_RB_LV,Jalen Richard,RB,LV,6,267.0,258.0,228.0,281.3,,1.5,,,0.8,302.5,,,,2.1,,,,,,0.1,33.7,,,,0.0
