key,name,pos,team,bye,std,half_ppr,ppr,kick_extra_points,rush_yds,kick_40_49,df_fumbles,pass_ints,pass_yds,rush_tds,two_pts,reception_yds,kick_0_19,df_tds,kick_50,receptions,reception_tds,fumbles,pass_tds,df_ints,kick_20_29,df_points_allowed_per_game,df_safeties,df_sacks,kick_30_39
raymond_WR_DET,Kalif Raymond,WR,DET,6.0,339,348,357,,19.1,,,,,0.1,,306.0,,0.1,,24.4,2.1,0.5,,,,,,,
bolden_RB_LV,Brandon Bolden,RB,LV,6.0,338,352,358,,238.0,,,,,1.0,,325.0,,,,32.0,1.0,1.0,,,,,,,
bullock_K_TEN,Randy Bullock,K,TEN,6.0,341,350,359,41.1,,8.9,,,,,,,0.3,,3.2,,,,,,7.0,,,,9.9
darnold_QB_CAR,Sam Darnold,QB,CAR,13.0,306,355,360,,34.5,,,2.2,605.2,0.4,0.7,,,,,,,0.3,2.7,,,,,,
coleman_RB_NYJ,Tevin Coleman,RB,NYJ,10.0,343,353,361,,251.1,,,,,1.3,,68.4,,,,9.9,0.1,1.0,,,,,,,
perriman_WR_TB,Breshad Perriman,WR,TB,11.0,344,357,362,,5.2,,,,,0.0,,160.1,,,,11.3,1.2,0.0,,,,,,,
johnson_RB_NYJ,Ty Johnson,RB,NYJ,10.0,351,356,363,,32.0,,,,,0.0,,33.0,,,,4.0,0.0,,,,,,,,
harty_WR_NO,Deonte Harty,WR,NO,14.0,346,358,364,,0.0,,,,,0.0,,60.0,,,,5.0,0.0,,,,,,,,
moreau_TE_LV,Foster Moreau,TE,LV,6.0,350,359,365,,0.4,,,0.0,,0.0,,324.2,,,,28.6,3.1,0.0,,,,,,,
higgins_WR_CAR,Rashard Higgins,WR,CAR,13.0,591,360,366,,0.4,,,,,0.0,,208.5,,,,15.7,0.8,,,,,,,,
philips_WR_TEN,Kyle Philips,WR,TEN,6.0,761,361,367,,0.0,,,,,0.0,,76.0,,,,6.0,1.0,,,,,,,,
austin_WR_PIT,Calvin Austin III,WR,PIT,9.0,383,362,368,,0.0,,,,,0.0,,243.0,,,,22.0,1.0,,,,,,,,
huntley_QB_BAL,Tyler Huntley,QB,BAL,10.0,359,363,369,,55.1,,,1.2,272.8,0.5,0.5,,,,,,,0.1,1.5,,,,,,
nailor_WR_MIN,Jalen Nailor,WR,MIN,7.0,733,365,371,,0.0,,,,,0.0,,40.0,,,,3.0,0.0,,,,,,,,
tremble_TE_CAR,Tommy Tremble,TE,CAR,13.0,356,366,372,,11.9,,,,,0.0,,278.7,,,,27.5,1.8,0.0,,,,,,,
shakir_WR_BUF,Khalil Shakir,WR,BUF,7.0,290,368,373,,12.0,,,,,0.0,,43.0,,,,4.0,0.0,,,,,,,,
johnson_TE_NO,Juwan Johnson,TE,NO,14.0,644,372,375,,0.0,,,,,0.0,,58.0,,,,5.5,1.0,0.0,,,,,,,
nwangwu_RB_MIN,Kene Nwangwu,RB,MIN,,355,370,376,,83.2,,,,,0.8,0.0,29.2,,,,4.8,0.1,0.1,,,,,,,
eskridge_WR_SEA,Dee Eskridge,WR,SEA,,348,371,377,,37.1,,,,,0.1,,300.0,,,,24.4,1.8,0.0,,,,,,,
love_QB_GB,Jordan Love,QB,GB,,349,373,378,,8.9,,,0.9,228.3,0.1,1.8,,,,,,,0.0,1.3,,,,,,
pacheco_RB_KC,Isaih Pacheco,RB,KC,,298,374,379,,90.5,,,,,0.5,,30.0,,,,3.5,0.0,0.0,,,,,,,
parham_TE_LAC,Donald Parham,TE,LAC,,320,376,380,,0.3,,,,,0.0,,205.9,,,,21.1,2.4,0.0,,,,,,,
corral_QB_CAR,Matt Corral,QB,CAR,,324,377,381,,4.0,,,1.0,126.5,0.0,,,,,,,,0.0,1.0,,,,,,
minshew_QB_PHI,Gardner Minshew,QB,PHI,,360,379,382,,25.5,,,0.9,252.1,0.0,1.1,,,,,,,0.0,1.7,,,,,,
abdullah_RB_LV,Ameer Abdullah,RB,LV,,361,380,383,,130.5,,,,,0.5,,150.7,,,,18.8,0.6,0.0,,,,,,,
agnew_WR_JAX,Jamal Agnew,WR,JAX,,364,383,386,,30.0,,,,,0.0,,61.0,,,,5.0,0.0,,,,,,,,
akins_TE_NYG,Jordan Akins,TE,NYG,,367,386,389,,3.3,,,0.0,,0.0,,234.8,,,,24.1,1.2,0.5,,,,,,,
allen_QB_CIN,Brandon Allen,QB,CIN,,368,387,390,,7.2,,,1.0,205.9,0.0,0.5,,,,,,,0.0,1.2,,,,,,
allen_QB_HOU,Kyle Allen,QB,HOU,,369,388,391,,8.5,,,1.4,301.7,0.0,0.5,,,,,,,0.5,1.4,,,,,,
anderson_TE_ARI,Stephen Anderson,TE,ARI,,374,393,396,,0.7,,,,,,,96.7,,,,8.8,0.8,0.0,,,,,,,
armstead_RB_JAX,Ryquell Armstead,RB,JAX,,378,397,400,,31.0,,,,,0.0,,15.0,,,,2.0,0.0,,,,,,,,
asiasi_TE_NE,Devin Asiasi,TE,NE,,379,398,401,,0.0,,,,,0.0,,78.0,,,,6.0,0.5,0.0,,,,,,,
atwell_WR_LAR,Tutu Atwell,WR,LAR,,380,399,402,,0.6,,,,,0.0,,164.5,,,,26.0,1.0,,,,,,,,
auclair_TE_HOU,Antony Auclair,TE,HOU,,381,400,403,,0.4,,,,,0.0,,56.0,,,,5.4,0.7,,,,,,,,
bargas_RB_MIN,Jake Bargas,RB,MIN,,388,406,409,,2.7,,,,,0.1,0.0,4.9,,,,2.2,0.1,0.0,,,,,,,
bates_TE_WSH,John Bates,TE,WSH,,392,410,413,,0.3,,,,,0.0,,256.3,,,,21.9,1.1,0.0,,,,,,,
bawden_RB_NYJ,Nick Bawden,RB,NYJ,,394,412,415,,0.0,,,,,0.0,,32.0,,,,4.0,0.0,,,,,,,,
beathard_QB_JAX,C.J. Beathard,QB,JAX,,397,415,418,,7.7,,,0.6,190.9,0.0,0.5,,,,,,,0.5,0.9,,,,,,
beck_TE_DEN,Andrew Beck,TE,DEN,,399,417,420,,3.9,,,0.0,,0.0,,274.3,,,,26.3,2.8,,,,,,,,
bell_TE_KC,Blake Bell,TE,KC,,401,419,422,,4.2,,,,,0.0,,94.9,,,,10.2,0.8,0.0,,,,,,,
benson_WR_DET,Trinity Benson,WR,DET,,403,421,424,,0.2,,,,,,,21.4,,,,1.8,0.1,,,,,,,,
beyer_TE_DEN,Shaun Beyer,TE,DEN,,404,422,425,,,,,,,,,122.0,,,,12.0,1.0,0.0,,,,,,,
blanton_TE_LAR,Kendall Blanton,TE,LAR,,408,425,428,,0.3,,,,,0.0,,211.0,,,,20.5,1.7,1.0,,,,,,,
blasingame_RB_CHI,Khari Blasingame,RB,CHI,,409,426,429,,5.0,,,,,0.1,0.0,31.3,,,,4.3,0.1,0.0,,,,,,,
board_WR_NYG,C.J. Board,WR,NYG,,411,428,431,,12.4,,,,,0.0,,93.9,,,,5.4,0.5,0.0,,,,,,,
boone_RB_DEN,Mike Boone,RB,DEN,,415,432,435,,104.1,,,,,0.9,0.0,25.2,,,,3.3,0.1,0.0,,,,,,,
bowden_WR_MIA,Lynn Bowden Jr.,WR,MIA,,417,434,437,,33.4,,,,,0.0,,280.2,,,,26.8,1.3,0.0,,,,,,,
bowers_TE_LV,Nick Bowers,TE,LV,,418,435,438,,0.0,,,,,0.0,,42.0,,,,4.0,0.0,,,,,,,,
boykin_WR_PIT,Miles Boykin,WR,PIT,,419,436,439,,0.8,,,,,0.0,,51.9,,,,3.8,0.1,,,,,,,,
boyle_QB_DET,Tim Boyle,QB,DET,,420,437,440,,7.6,,,1.2,184.3,0.0,0.4,,,,,,,0.0,0.9,,,,,,
boyle_TE_BAL,Nick Boyle,TE,BAL,,421,438,441,,0.5,,,0.0,,0.0,,140.2,,,,15.0,1.3,0.0,,,,,,,
bradley_WR_CLE,Ja'Marcus Bradley,WR,CLE,,422,439,442,,1.5,,,,,,,62.1,,,,1.8,0.2,,,,,,,,
