key,name,pos,team,bye,std,half_ppr,ppr,reception_yds,kick_40_49,pass_ints,pass_tds,kick_0_19,df_points_allowed_per_game,rush_tds,df_safeties,kick_30_39,pass_yds,df_fumbles,df_tds,df_sacks,df_ints,kick_extra_points,receptions,reception_tds,rush_yds,kick_20_29,two_pts,fumbles,kick_50
richardson_QB_IND,Anthony Richardson,QB,IND,14.0,52,49,52,,,11.3,19.7,,,8.0,,,3439.7,,,,,,,,651.7,,,4.5,
kittle_TE_SF,George Kittle,TE,SF,9.0,63,60,53,882.7,,,,,,0.0,,,,,,,,,63.0,6.0,2.5,,,0.5,
cooper_WR_CLE,Amari Cooper,WR,CLE,10.0,53,53,54,1130.0,,,,,,0.0,,,,,,,,,73.7,6.3,1.7,,,1.0,
conner_RB_ARI,James Conner,RB,ARI,11.0,57,55,55,239.7,,,,,,7.0,,,,,,,,,34.3,1.7,886.3,,,1.0,
jones_RB_MIN,Aaron Jones,RB,MIN,6.0,54,54,56,323.7,,,,,,5.0,,,,,,,,,42.7,2.0,783.3,,,1.0,
pickens_WR_PIT,George Pickens,WR,PIT,9.0,55,59,57,1105.3,,,,,,0.0,,,,,,,,,68.3,6.3,22.0,,,1.0,
burrow_QB_CIN,Joe Burrow,QB,CIN,12.0,61,61,58,,,11.7,30.3,,,2.3,,,4208.0,,,,,,,,169.3,,,3.0,
montgomery_RB_DET,David Montgomery,RB,DET,5.0,62,57,59,168.3,,,,,,9.3,,,,,,,,,22.7,0.7,891.0,,,1.0,
flowers_WR_BAL,Zay Flowers,WR,BAL,14.0,58,62,60,953.7,,,,,,1.0,,,,,,,,,77.7,6.3,52.3,,,1.0,
swift_RB_CHI,D'Andre Swift,RB,CHI,7.0,56,63,61,259.0,,,,,,5.0,,,,,,,,,37.3,1.3,851.7,,,1.0,
higgins_WR_CIN,Tee Higgins,WR,CIN,12.0,59,58,62,1016.7,,,,,,0.0,,,,,,,,,69.3,7.7,1.7,,,0.5,
pitts_TE_ATL,Kyle Pitts,TE,ATL,12.0,65,64,63,842.7,,,,,,0.0,,,,,,,,,63.7,4.7,0.0,,,0.5,
dell_WR_HOU,Tank Dell,WR,HOU,14.0,68,66,64,946.0,,,,,,0.5,,,,,,,,,70.3,7.3,73.7,,,0.5,
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,14.0,60,56,65,297.0,,,,,,5.7,,,,,,,,,42.7,0.7,841.0,,,1.0,
white_RB_LV,Zamir White,RB,LV,10.0,67,68,66,225.7,,,,,,5.3,,,,,,,,,32.0,0.7,984.3,,,1.5,
engram_TE_JAX,Evan Engram,TE,JAX,12.0,73,72,67,770.3,,,,,,0.0,,,,,,,,,84.0,4.0,0.0,,,1.0,
prescott_QB_DAL,Dak Prescott,QB,DAL,7.0,75,74,68,,,12.0,30.3,,,2.0,,,4111.0,,,,,,,,226.3,,,2.5,
love_QB_GB,Jordan Love,QB,GB,10.0,72,71,69,,,11.7,30.0,,,3.0,,,3880.7,,,,,,,,203.0,,,2.5,
harris_RB_PIT,Najee Harris,RB,PIT,9.0,64,67,70,184.0,,,,,,7.0,,,,,,,,,28.0,1.0,929.3,,,1.0,
murray_QB_ARI,Kyler Murray,QB,ARI,11.0,71,65,71,,,12.7,22.3,,,5.0,,,3662.3,,,,,,,,498.7,,,1.5,
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,14.0,66,69,72,1002.0,,,,,,0.0,,,,,,,,,74.3,4.3,3.7,,,0.5,
allen_WR_CHI,Keenan Allen,WR,CHI,7.0,70,73,73,883.3,,,,,,0.0,,,,,,,,,80.0,5.7,10.3,,,1.0,
mostert_RB_MIA,Raheem Mostert,RB,MIA,6.0,77,75,74,163.3,,,,,,8.7,,,,,,,,,23.3,1.3,788.7,,,1.0,
kirk_WR_JAX,Christian Kirk,WR,JAX,12.0,69,70,75,985.7,,,,,,0.0,,,,,,,,,79.7,5.3,10.7,,,1.5,
ridley_WR_TEN,Calvin Ridley,WR,TEN,5.0,78,78,76,960.0,,,,,,0.0,,,,,,,,,69.0,7.3,24.7,,,0.5,
rice_WR_KC,Rashee Rice,WR,KC,6.0,76,77,77,896.3,,,,,,0.0,,,,,,,,,78.0,7.0,7.3,,,1.0,
godwin_WR_TB,Chris Godwin,WR,TB,11.0,74,76,78,957.7,,,,,,0.5,,,,,,,,,82.0,5.0,25.7,,,0.5,
pollard_RB_TEN,Tony Pollard,RB,TEN,5.0,79,79,79,226.0,,,,,,5.7,,,,,,,,,33.3,0.7,854.3,,,1.0,
njoku_TE_CLE,David Njoku,TE,CLE,10.0,90,83,80,780.7,,,,,,0.0,,,,,,,,,68.3,5.7,0.0,,,1.5,
ferguson_TE_DAL,Jake Ferguson,TE,DAL,7.0,85,81,81,737.0,,,,,,,,,,,,,,,69.5,6.0,,,,0.5,
reed_WR_GB,Jayden Reed,WR,GB,10.0,80,80,82,795.7,,,,,,1.7,,,,,,,,,64.0,6.0,89.0,,,0.5,
williams_RB_DEN,Javonte Williams,RB,DEN,14.0,81,86,83,254.7,,,,,,4.3,,,,,,,,,41.7,1.3,780.7,,,1.0,
