key,name,pos,team,bye,std,half_ppr,ppr,kick_40_49,two_pts,receptions,df_fumbles,fumbles,pass_yds,df_points_allowed_per_game,df_tds,kick_extra_points,kick_0_19,rush_yds,reception_yds,pass_ints,df_safeties,kick_20_29,reception_tds,kick_50,pass_tds,df_sacks,kick_30_39,rush_tds,df_ints
jones_QB_SF,Mac Jones,QB,SF,8.0,272,280,329,,,,,0.0,166.0,,,,,18.0,,1.0,,,,,1.0,,,0.0,
randall_RB_BAL,Adam Randall,RB,BAL,13.0,247,237,330,,,16.0,,1.0,,,,,,441.0,177.0,,,,2.0,,,,,3.0,
raridon_TE_NE,Eli Raridon,TE,NE,11.0,255,264,333,,,19.0,,1.0,,,,,,0.0,193.0,,,,1.5,,,,,0.0,
delp_TE_NO,Oscar Delp,TE,NO,8.0,266,248,334,,,7.5,,0.0,,,,,,0.0,75.5,,,,0.5,,,,,0.0,
mayer_TE_LV,Michael Mayer,TE,LV,13.0,236,249,335,,,38.5,,0.0,,,,,,0.0,355.5,,,,1.5,,,,,0.0,
etienne_RB_CAR,Trevor Etienne,RB,CAR,5.0,348,350,336,,,4.0,,,,,,,,70.0,29.0,,,,0.0,,,,,0.0,
bagent_QB_CHI,Tyson Bagent,QB,CHI,10.0,393,394,337,,,,,0.0,153.0,,,,,14.0,,0.0,,,,,1.0,,,0.0,
lane_WR_BAL,Ja'Kobi Lane,WR,BAL,13.0,231,235,339,,,30.5,,1.0,,,,,,8.5,458.0,,,,3.5,,,,,0.0,
sarratt_WR_BAL,Elijah Sarratt,WR,BAL,13.0,208,229,340,,,20.0,,,,,,,,0.0,294.0,,,,2.0,,,,,0.0,
sinnott_TE_WSH,Ben Sinnott,TE,WSH,7.0,379,380,341,,,12.0,,0.0,,,,,,,127.0,,,,2.0,,,,,,
royals_WR_KC,Jalen Royals,WR,KC,5.0,276,281,342,,,17.0,,,,,,,,0.0,198.0,,,,2.0,,,,,0.0,
slayton_WR_NYG,Darius Slayton,WR,NYG,8.0,248,258,343,,,35.5,,1.0,,,,,,8.5,521.5,,,,2.0,,,,,0.0,
iosivas_WR_CIN,Andrei Iosivas,WR,CIN,6.0,237,244,345,,,31.0,,0.0,,,,,,11.0,393.0,,,,3.0,,,,,0.0,
tremble_TE_CAR,Tommy Tremble,TE,CAR,5.0,984,984,346,,,29.0,,0.0,,,,,,,262.0,,,,2.0,,,,,,
knox_TE_BUF,Dawson Knox,TE,BUF,7.0,259,261,347,,,35.0,,0.0,,,,,,,392.0,,,,3.0,,,,,,
ford_RB_WSH,Jerome Ford,RB,WSH,7.0,342,344,348,,,8.0,,0.0,,,,,,193.0,47.0,,,,0.0,,,,,1.0,
bech_WR_LV,Jack Bech,WR,LV,13.0,227,241,349,,,41.0,,,,,,,,0.0,483.0,,,,2.0,,,,,0.0,
harris_RB_LAC,Najee Harris,RB,LAC,7.0,246,230,350,,,2.0,,0.0,,,,,,126.0,18.0,,,,0.0,,,,,1.0,
washington_TE_PIT,Darnell Washington,TE,PIT,9.0,245,255,352,,,35.0,,1.0,,,,,,,386.0,,,,2.0,,,,,,
jets_DST_NYJ,Jets,DST,NYJ,13.0,683,683,353,,,,8.0,8.0,,26.0,3.0,,,,,,0.0,,,,,37.4,,,11.0
bourne_WR_ARI,Kendrick Bourne,WR,ARI,14.0,267,278,355,,,23.0,,,,,,,,0.0,240.0,,,,1.0,,,,,0.0,
vele_WR_NO,Devaughn Vele,WR,NO,8.0,241,254,356,,,35.0,,0.0,,,,,,0.0,423.0,,,,3.0,,,,,0.0,
ayomanor_WR_TEN,Elic Ayomanor,WR,TEN,9.0,269,270,357,,,21.5,,0.0,,,,,,0.0,288.0,,,,2.5,,,,,0.0,
dotson_WR_ATL,Jahan Dotson,WR,ATL,11.0,280,285,358,,,32.0,,,,,,,,0.0,403.0,,,,2.0,,,,,0.0,
atwell_WR_MIA,Tutu Atwell,WR,MIA,6.0,305,308,360,,,21.0,,,,,,,,11.0,292.0,,,,0.0,,,,,0.0,
huntley_QB_BAL,Tyler Huntley,QB,BAL,13.0,392,393,361,,,,,0.0,131.0,,,,,18.5,,0.5,,,,,1.0,,,0.0,
mcgowan_RB_IND,Seth McGowan,RB,IND,13.0,345,347,362,,,2.0,,0.0,,,,,,142.0,25.0,,,,0.0,,,,,2.0,
cardinals_DST_ARI,Cardinals,DST,ARI,14.0,488,489,364,,,,10.0,10.0,,29.4,2.2,,,,,,0.0,,,,,35.6,,,12.0
mariota_QB_WSH,Marcus Mariota,QB,WSH,7.0,390,391,366,,,,,0.0,346.0,,,,,6.0,,1.0,,,,,3.0,,,0.0,
fields_QB_KC,Justin Fields,QB,KC,5.0,271,231,367,,,,,0.0,147.0,,,,,21.0,,1.0,,,,,1.0,,,0.0,
winston_QB_NYG,Jameis Winston,QB,NYG,8.0,323,325,368,,,,,1.0,144.0,,,,,22.0,,1.0,,,,,1.0,,,0.0,
simpson_QB_LAR,Ty Simpson,QB,LAR,11.0,353,355,369,,,,,0.0,450.0,,,,,32.0,,1.0,,,,,4.0,,,0.0,
