"","name","pos","pts_ppr_cbs","pts_cbs"
"222","Jarvis Landry","WR","239","145"
"223","Stefon Diggs","WR","235","139"
"224","Mike Evans","WR","231","136"
"225","Demaryius Thomas","WR","224","136"
"226","Adam Thielen","WR","222","135"
"227","Golden Tate","WR","221","133"
"228","Larry Fitzgerald","WR","219","130"
"229","Amari Cooper","WR","217","130"
"230","Tyreek Hill","WR","216","129"
"231","Doug Baldwin","WR","210","128"
"232","T.Y. Hilton","WR","209","123"
"233","Josh Gordon","WR","203","122"
"234","Michael Crabtree","WR","201","117"
"235","JuJu Smith-Schuster","WR","194","116"
"236","Marvin Jones","WR","183","116"
"237","Marquise Goodwin","WR","179","111"
"238","Robby Anderson","WR","177","110"
"239","Sterling Shepard","WR","177","107"
"240","Corey Davis","WR","174","105"
"241","Emmanuel Sanders","WR","172","104"
"242","Pierre Garcon","WR","170","103"
"243","Robert Woods","WR","169","103"
"244","Cooper Kupp","WR","169","101"
"245","Jamison Crowder","WR","168","101"
"246","Allen Robinson","WR","167","98"
"247","Brandin Cooks","WR","163","98"
"248","Julian Edelman","WR","159","98"
"249","Nelson Agholor","WR","159","98"
"250","Jordy Nelson","WR","158","98"
"251","Chris Hogan","WR","155","97"
"252","Sammy Watkins","WR","152","93"
"253","Will Fuller","WR","148","93"
"254","Devin Funchess","WR","147","93"
"255","Mohamed Sanu","WR","146","93"
"256","Kenny Stills","WR","145","91"
"257","Randall Cobb","WR","145","90"
"258","Calvin Ridley","WR","145","89"
"259","Geronimo Allison","WR","144","88"
"260","John Brown","WR","143","87"
"261","Quincy Enunwa","WR","143","87"
"262","Josh Doctson","WR","142","86"
"263","Courtland Sutton","WR","140","86"
"264","Ted Ginn","WR","138","86"
"265","Tyrell Williams","WR","138","86"
"266","Michael Gallup","WR","137","84"
"267","Dede Westbrook","WR","136","84"
"268","Keelan Cole","WR","136","83"
"269","DeSean Jackson","WR","136","82"
"270","Allen Hurns","WR","136","82"
"271","Paul Richardson","WR","135","82"
"272","Kenny Golladay","WR","135","81"
"273","Kelvin Benjamin","WR","132","80"
"274","Alshon Jeffery","WR","129","79"
"275","Antonio Callaway","WR","129","79"
"276","DJ Moore","WR","128","77"
"277","Seth Roberts","WR","125","76"
"278","Adam Humphries","WR","124","74"
"279","DeVante Parker","WR","124","73"
"280","Ryan Grant","WR","121","72"
"281","Chester Rogers","WR","121","70"
"282","Christian Kirk","WR","120","70"
"283","Albert Wilson","WR","117","70"
"284","Donte Moncrief","WR","116","66"
"285","Jermaine Kearse","WR","115","66"
"286","Cameron Meredith","WR","114","65"
"287","Mike Wallace","WR","112","65"
"288","Chad Williams","WR","111","65"
"289","Brandon Marshall","WR","111","65"
"290","Tyler Lockett","WR","110","65"
"291","Travis Benjamin","WR","108","63"
"292","Laquon Treadwell","WR","106","63"
"293","D.J. Chark","WR","104","61"
"294","Chris Conley","WR","104","61"
"295","Cole Beasley","WR","103","60"
"296","John Ross","WR","103","60"
"297","Trent Taylor","WR","102","60"
"298","Tre'Quan Smith","WR","100","60"
"299","T.J. Jones","WR","100","58"
"300","Chris Godwin","WR","99","57"
"301","J.J. Nelson","WR","97","57"
"302","Danny Amendola","WR","95","56"
"303","Cordarrelle Patterson","WR","94","54"
"304","Phillip Dorsett","WR","93","54"
"305","Terrelle Pryor","WR","93","53"
"306","Anthony Miller","WR","90","51"
"307","Zay Jones","WR","88","51"
"308","Taylor Gabriel","WR","84","50"
"309","Mike Williams","WR","84","50"
"310","Willie Snead","WR","83","48"
"311","Terrance Williams","WR","83","48"
"312","Taywan Taylor","WR","81","45"
"313","Cody Latimer","WR","80","44"
"314","Bruce Ellington","WR","79","42"
"315","Jaron Brown","WR","78","42"
"316","Tyler Boyd","WR","77","41"
"317","Chris Moore","WR","73","41"
"318","James Washington","WR","70","40"
"319","Dante Pettis","WR","69","40"
"320","Kevin White","WR","64","40"
"321","Andre Holmes","WR","63","36"
"322","Curtis Samuel","WR","62","35"
"323","Josh Reynolds","WR","60","34"
"324","Mack Hollins","WR","59","34"
"325","Torrey Smith","WR","58","32"
"326","Jakeem Grant","WR","58","32"
"327","Hunter Sharp","WR","54","31"
"328","Jeremy Kerley","WR","54","31"
"329","Sammie Coates","WR","53","29"
"330","Keke Coutee","WR","50","24"
"331","Justin Hardy","WR","39","23"
"332","J'Mon Moore","WR","30","15"
"333","DaeSean Hamilton","WR","29","15"
"334","Brandon LaFell","WR","29","15"
"335","Rashard Higgins","WR","20","14"
"336","Justin Hunter","WR","20","9"
"337","Tajae Sharpe","WR","19","9"
"338","Eli Rogers","WR","16","8"
"339","Josh Bellamy","WR","16","8"
"340","Kendrick Bourne","WR","15","6"
"341","Damiere Byrd","WR","15","6"
"342","Demarcus Robinson","WR","13","6"
"343","Tavon Austin","WR","13","5"
"344","Travis Rudolph","WR","12","5"
