"","name","pos","pts_fox"
"478","Quinton Patton","WR","67.0"
"479","Davante Adams","WR","66.1"
"480","Devin Funchess","WR","65.3"
"481","Adam Humphries","WR","63.3"
"482","Cameron Meredith","WR","62.1"
"483","Kendall Wright","WR","61.8"
"484","Marquise Goodwin","WR","61.4"
"485","Donte Moncrief","WR","60.9"
"486","J.J. Nelson","WR","60.7"
"487","Chris Conley","WR","60.0"
"488","Eli Rogers","WR","58.8"
"489","Cordarrelle Patterson","WR","58.6"
"490","Russell Shepard","WR","57.7"
"491","Charles Johnson","WR","53.0"
"492","Jordan Norwood","WR","51.8"
"493","Brandon Coleman","WR","50.3"
"494","Markus Wheaton","WR","48.2"
"495","Robby Anderson","WR","47.9"
"496","Eddie Royal","WR","47.2"
"497","Dorial Green-Beckham","WR","44.4"
"498","Josh Bellamy","WR","44.3"
"499","Ricardo Louis","WR","43.9"
"500","Justin Hunter","WR","42.2"
"501","Albert Wilson","WR","40.8"
"502","Brice Butler","WR","40.4"
"503","Rod Streater","WR","37.7"
"504","Malcolm Mitchell","WR","37.4"
"505","Taylor Gabriel","WR","37.2"
"506","Justin Hardy","WR","36.0"
"507","Kevin White","WR","35.9"
"508","Braxton Miller","WR","35.7"
"509","Andre Holmes","WR","35.2"
"510","Vincent Jackson","WR","35.1"
"511","Jalin Marshall","WR","33.1"
"512","Paul Richardson","WR","32.5"
"513","Darrius Heyward-Bey","WR","32.2"
"514","Chester Rogers","WR","31.6"
"515","James Wright","WR","29.9"
"516","Leonte Carroo","WR","28.9"
"517","Harry Douglas","WR","28.8"
"518","Andre Johnson","WR","28.5"
"519","Corey Brown","WR","27.5"
"520","Marquess Wilson","WR","26.9"
"521","Eric Decker","WR","26.0"
"522","Dwayne Harris","WR","25.5"
"523","Keith Mumphery","WR","25.2"
"524","Andre Roberts","WR","22.6"
"525","Rashard Higgins","WR","22.0"
"526","Jaelen Strong","WR","20.4"
"527","Deonte Thompson","WR","20.4"
"528","Daniel Brown","WR","19.9"
"529","Ryan Grant","WR","19.3"
"530","Jaron Brown","WR","19.1"
"531","Pharoh Cooper","WR","18.9"
"532","Bradley Marquez","WR","18.3"
"533","Walt Powell","WR","18.2"
"534","Bennie Fowler","WR","17.5"
"535","Cecil Shorts III","WR","17.4"
"536","Bryan Walters","WR","17.1"
"537","Griff Whalen","WR","17.0"
"538","Laquon Treadwell","WR","16.4"
"539","Jordan Taylor","WR","15.6"
"540","Aldrick Robinson","WR","15.5"
"541","Greg Salas","WR","15.1"
"542","Matthew Slater","WR","15.0"
"543","Rashad Greene Sr.","WR","13.9"
"544","Arrelious Benn","WR","13.4"
"545","Jeff Janis","WR","12.8"
"546","Neal Sterling","WR","12.4"
"547","De'Anthony Thomas","WR","12.1"
"548","Darren Waller","WR","11.8"
"549","Brittan Golden","WR","11.3"
"550","Cody Latimer","WR","11.1"
"551","Isaiah Burse","WR","10.7"
"552","Josh Huff","WR","10.5"
"553","Brandon Tate","WR","10.1"
"554","Maurice Harris","WR","10.1"
"555","Chris Moore","WR","9.4"
"556","Jared Abbrederis","WR","8.9"
"557","Keenan Allen","WR","8.7"
"558","Charone Peake","WR","8.7"
"559","Jeremy Butler","WR","8.7"
"560","Roger Lewis","WR","8.6"
"561","Bryce Treggs","WR","8.5"
