key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
bryant_WR_WSH,Martavis Bryant,WR,WSH,,,,,,,,,,,,,,,,,,,,,,
buechele_QB_BUF,Shane Buechele,QB,BUF,,,,,,,,,,,,,,,,,,,,,,
burgess_WR_CIN,Cole Burgess,WR,CIN,,,,,,,,,,,,,,,,,,,,,,
burnett_WR_DAL,Deontay Burnett,WR,DAL,,,,,,,,,,,,,,,,,,,,,,
burns_RB_ATL,Robert Burns,RB,ATL,,,,,,,,,,,,,,,,,,,,,,
burton_WR_MIA,Je'Quan Burton,WR,MIA,,,,,,,,,,,,,,,,,,,,,,
burton_RB_DEN,Michael Burton,RB,DEN,,,,,,,,,,,,,,,,,,,,,,
bynum_WR_LV,Terrell Bynum,WR,LV,,,,,,,,,,,,,,,,,,,,,,
cager_TE_NYG,Lawrence Cager,TE,NYG,,,,,,,,,,,,,,,,,,,,,,
cain_WR_BUF,Deon Cain,WR,BUF,,,,,,,,,,,,,,,,,,,,,,
calcaterra_TE_PHI,Grant Calcaterra,TE,PHI,,,,,,,,,,,,,,,,,,,,,,
calhoun_WR_DET,Jalon Calhoun,WR,DET,,,,,,,,,,,,,,,,,,,,,,
cannella_TE_TB,Sal Cannella,TE,TB,,,,,,,,,,,,,,,,,,,,,,
carlson_TE_CHI,Stephen Carlson,TE,CHI,,,,,,,,,,,,,,,,,,,,,,
carter_WR_CAR,Devin Carter,WR,CAR,,,,,,,,,,,,,,,,,,,,,,
castles_TE_PHI,McCallan Castles,TE,PHI,,,,,,,,,,,,,,,,,,,,,,
cephus_WR_JAX,Joshua Cephus,WR,JAX,,,,,,,,,,,,,,,,,,,,,,
cephus_WR_HOU,Quintez Cephus,WR,HOU,,,,,,,,,,,,,,,,,,,,,,
charles_WR_NYJ,Irvin Charles,WR,NYJ,,,,,,,,,,,,,,,,,,,,,,
chestnut_RB_TEN,Julius Chestnut,RB,TEN,,,,,,,,,,,,,,,,,,,,,,
chisena_WR_ARI,Dan Chisena,WR,ARI,,,,,,,,,,,,,,,,,,,,,,
cleveland_WR_IND,Tyrie Cleveland,WR,IND,,,,,,,,,,,,,,,,,,,,,,
coker_WR_CAR,Jalen Coker,WR,CAR,,,,,,,,,,,,,,,,,,,,,,
colletto_RB_PIT,Jack Colletto,RB,PIT,,,,,,,,,,,,,,,,,,,,,,
collier_RB_BAL,Chris Collier,RB,BAL,,,,,,,,,,,,,,,,,,,,,,
collins_RB_CIN,Elijah Collins,RB,CIN,,,,,,,,,,,,,,,,,,,,,,
conner_RB_DAL,Snoop Conner,RB,DAL,,,,,,,,,,,,,,,,,,,,,,
conner_TE_MIA,Tanner Conner,TE,MIA,,,,,,,,,,,,,,,,,,,,,,
cooks_WR_JAX,Elijah Cooks,WR,JAX,,,,,,,,,,,,,,,,,,,,,,
copeland_WR_PIT,Jacob Copeland,WR,PIT,,,,,,,,,,,,,,,,,,,,,,
corral_QB_MIN,Matt Corral,QB,MIN,,,,,,,,,,,,,,,,,,,,,,
cota_WR_NYG,Chase Cota,WR,NYG,,,,,,,,,,,,,,,,,,,,,,
cunningham_QB_BAL,Malik Cunningham,QB,BAL,,,,,,,,,,,,,,,,,,,,,,
cupp_TE_KC,Baylor Cupp,TE,KC,,,,,,,,,,,,,,,,,,,,,,
darden_WR_CLE,Jaelon Darden,WR,CLE,,,,,,,,,,,,,,,,,,,,,,
davidson_TE_BUF,Zach Davidson,TE,BUF,,,,,,,,,,,,,,,,,,,,,,
davis_WR_WSH,Davion Davis,WR,WSH,,,,,,,,,,,,,,,,,,,,,,
davis_WR_DET,Kaden Davis,WR,DET,,,,,,,,,,,,,,,,,,,,,,
