"","name","pos","team","vor","adp","pred","replace_value","experts","madden","href","bye"
"270","Amara Darboh","WR","Seahawks",-82,0,19,101,29,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18201.png",7
"201","Leonte Carroo","WR","Dolphins",-83,0,19,101,29,70,NA,11
"288","Michael Campanaro","WR","Titans",-83,0,18,101,29,67,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17148.png",8
"151","Josh Malone","WR","Bengals",-84,0,17,101,28,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18216.png",9
"204","Marquess Wilson","WR","Eagles",-84,0,17,101,27,73,NA,9
"210","Justin Hardy","WR","Falcons",-84,0,18,101,28,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17542.png",8
"239","Marquez Valdes-Scantling","WR","Packers",-84,0,17,101,27,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18733.png",7
"258","Josh Reynolds","WR","Rams",-84,0,17,101,27,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18214.png",12
"206","Mack Hollins","WR","Eagles",-85,0,16,101,26,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18350.png",9
"278","Justin Hunter","WR","Steelers",-85,0,16,101,26,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15845.png",7
"163","Jordan Taylor","WR","Broncos",-86,0,15,101,25,70,NA,10
"183","Dylan Cantrell","WR","Chargers",-86,0,15,101,25,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18750.png",8
"256","Dwayne Harris","WR","Raiders",-86,0,15,101,26,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14100.png",7
"430","Denver","DST",NA,-86,NA,119,205,119,NA,NA,NA
"224","Chad Hansen","WR","Jets",-87,0,14,101,24,69,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18170.png",11
"165","Isaiah McKenzie","WR","Broncos",-88,0,13,101,23,70,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18304.png",10
"157","Andre Holmes","WR","Bills",-90,0,11,101,21,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14403.png",11
"414","Bengals","DST",NA,-96,NA,109,205,109,NA,NA,NA
"432","Dolphins","DST",NA,-96,NA,109,205,109,NA,NA,NA
"434","England","DST",NA,-96,NA,109,205,109,NA,NA,NA
"4","Josh Allen","QB","Bills",-97,0,118,214,176,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18570.png",11
"448","New England","DST",NA,-97,NA,108,205,108,NA,NA,NA
"406","Angeles","DST",NA,-98,NA,107,205,107,NA,NA,NA
"411","Bay","DST",NA,-98,NA,107,205,107,NA,NA,NA
"415","Bills","DST",NA,-99,NA,106,205,106,NA,NA,NA
"442","Kansas City","DST",NA,-100,NA,105,205,105,NA,NA,NA
"447","Minnesota","DST",NA,-100,NA,104,205,104,NA,NA,NA
"452","Oakland","DST",NA,-100,NA,105,205,105,NA,NA,NA
"443","Lions","DST",NA,-101,NA,104,205,104,NA,NA,NA
"474","York","DST",NA,-101,NA,104,205,104,NA,NA,NA
"417","Browns","DST",NA,-104,NA,101,205,101,NA,NA,NA
"10","Sam Bradford","QB","Cardinals",-105,0,109,214,163,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/13197.png",9
"457","Philadelphia","DST",NA,-105,NA,100,205,100,NA,NA,NA
"459","Raiders","DST",NA,-105,NA,100,205,100,NA,NA,NA
"410","Baltimore","DST",NA,-106,NA,98,205,98,NA,NA,NA
"427","Colts","DST",NA,-106,NA,99,205,99,NA,NA,NA
"453","Orleans","DST",NA,-106,NA,99,205,99,NA,NA,NA
"436","Francisco","DST",NA,-107,NA,98,205,98,NA,NA,NA
"420","Carolina","DST",NA,-108,NA,97,205,97,NA,NA,NA
"425","City","DST",NA,-108,NA,97,205,97,NA,NA,NA
"437","Green Bay","DST",NA,-109,NA,96,205,96,NA,NA,NA
"438","Houston","DST",NA,-109,NA,96,205,96,NA,NA,NA
"462","Redskins","DST",NA,-109,NA,96,205,96,NA,NA,NA
"424","Cincinnati","DST",NA,-115,NA,90,205,90,NA,NA,NA
"429","Dallas","DST",NA,-115,NA,90,205,90,NA,NA,NA
"466","Seattle","DST",NA,-115,NA,90,205,90,NA,NA,NA
"469","Tennessee","DST",NA,-115,NA,90,205,90,NA,NA,NA
"473","Washington","DST",NA,-115,NA,90,205,90,NA,NA,NA
"408","Arizona","DST",NA,-117,NA,88,205,88,NA,NA,NA
"409","Atlanta","DST",NA,-118,NA,87,205,87,NA,NA,NA
"431","Detroit","DST",NA,-118,NA,87,205,87,NA,NA,NA
"458","Pittsburgh","DST",NA,-118,NA,88,205,88,NA,NA,NA
"418","Buffalo","DST",NA,-119,NA,86,205,86,NA,NA,NA
"446","Miami","DST",NA,-120,NA,85,205,85,NA,NA,NA
"468","Tampa Bay","DST",NA,-120,NA,85,205,85,NA,NA,NA
"439","Indianapolis","DST",NA,-125,NA,80,205,80,NA,NA,NA
"450","New York","DST",NA,-126,NA,79,205,79,NA,NA,NA
"422","Chicago","DST",NA,-130,NA,75,205,75,NA,NA,NA
"444","Los Angeles","DST",NA,-130,NA,75,205,75,NA,NA,NA
"440","Jacksonville","DST",NA,-136,NA,69,205,69,NA,NA,NA
"449","New Orleans","DST",NA,-142,NA,63,205,63,NA,NA,NA
"426","Cleveland","DST",NA,-148,NA,57,205,57,NA,NA,NA
"464","San Francisco","DST",NA,-148,NA,57,205,57,NA,NA,NA
"9","Ryan Fitzpatrick","QB","Buccaneers",-158,0,56,214,105,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8664.png",5
"11","Josh Rosen","QB","Cardinals",-159,0,56,214,103,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18572.png",9
"6","Baker Mayfield","QB","Browns",-194,0,21,214,58,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18565.png",11
"23","Josh McCown","QB","Jets",-207,0,7,214,47,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/3609.png",11
