"","name","pos","team","vor","adp","pred","replace_value","experts","madden","href","bye"
"175","Chris Godwin","WR","Buccaneers",-12,0,89,101,106,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18272.png",5
"219","Marqise Lee","WR","Jaguars",-12,144,89,101,105,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16787.png",9
"395","Greg Zuerlein","K","Rams",-12,120,130,142,130,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14993.png",12
"397","Justin Tucker","K","Ravens",-12,139,130,142,130,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15683.png",10
"91","Jonathan Stewart","RB","Giants",-13,0,74,87,84,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11247.png",9
"126","Terrance West","RB","Saints",-13,0,75,87,96,75,NA,6
"273","Brandon Marshall","WR","Seahawks",-13,0,88,101,104,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/9705.png",7
"111","Mike Gillislee","RB","Patriots",-14,0,73,87,91,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15952.png",11
"309","David Njoku","TE","Browns",-14,112,67,80,87,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18303.png",11
"13","Patrick Mahomes","QB","Chiefs",-15,108,199,214,267,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18210.png",12
"194","Allen Hurns","WR","Cowboys",-15,131,86,101,102,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17163.png",8
"405","Daniel Carlson","K","Vikings",-15,0,128,142,128,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18726.png",10
"454","Packers","DST",NA,-15,189,190,205,190,NA,NA,NA
"15","Dak Prescott","QB","Cowboys",-16,123,198,214,260,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17907.png",8
"21","Blake Bortles","QB","Jaguars",-16,161,199,214,264,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16724.png",9
