name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_espn
robert_turbin,RB,31.0,20.0,,44.2,
elijah_mcguire,RB,28.0,18.0,29.98,,
wendell_smallwood,RB,26.0,18.0,1.47,37.7,
mike_davis,RB,25.0,15.0,0.0,10.7,
mark_walton,RB,18.0,13.0,40.4,,
jaylen_samuels,RB,18.0,12.0,,,
ameer_abdullah,RB,16.0,11.0,24.74,18.4,
alfred_blue,RB,13.0,9.0,89.05,52.5,
kalen_ballage,RB,13.0,8.0,25.46,,
christine_michael,RB,11.0,8.0,1.71,139.0,
orleans_darkwa,RB,11.0,8.0,0.0,17.6,
jacquizz_rodgers,RB,11.0,8.0,20.29,60.1,
andre_ellington,RB,11.0,7.0,0.0,50.0,
anthony_sherman,RB,10.0,6.0,10.58,,
samaje_perine,RB,10.0,6.0,,,
jamize_olawale,RB,9.0,5.0,5.29,19.6,
deandre_washington,RB,9.0,5.0,,45.0,
benny_cunningham,RB,6.0,4.0,27.08,50.4,
lance_dunbar,RB,6.0,4.0,,14.8,
damien_williams,RB,6.0,4.0,44.28,25.4,
james_develin,RB,6.0,4.0,6.67,4.1,
zach_line,RB,5.0,3.0,7.06,8.8,
dalton_crossan,RB,5.0,3.0,0.0,,
patrick_dimarco,RB,5.0,3.0,11.47,6.3,
stevan_ridley,RB,5.0,3.0,,,
gus_edwards,RB,5.0,3.0,0.0,,
john_kelly,RB,5.0,3.0,35.6,,
mark_thompson,RB,5.0,3.0,,,
andy_janovich,RB,5.0,3.0,8.59,,
david_williams,RB,4.0,2.0,,,
roosevelt_nix-jones,RB,4.0,2.0,,,
ito_smith,RB,4.0,2.0,16.47,,
branden_oliver,RB,4.0,2.0,,,
justin_davis,RB,4.0,2.0,0.0,,
jay_prosch,RB,4.0,2.0,,,
trenton_cannon,RB,4.0,2.0,30.21,,
cj_spiller,RB,3.0,2.0,,7.9,
jalston_fowler,RB,3.0,1.0,0.0,9.1,
trey_edmunds,RB,3.0,1.0,0.0,,
keith_smith,RB,3.0,1.0,5.33,,
shane_smith,RB,2.0,1.0,3.89,,
eddie_lacy,RB,2.0,1.0,0.0,61.1,
derek_watt,RB,2.0,1.0,7.53,,
tion_green,RB,2.0,1.0,0.0,,
fitzgerald_toussaint,RB,1.0,0.0,,18.8,
byron_marshall,RB,1.0,0.0,,,
tyler_ervin,RB,1.0,0.0,0.0,6.2,
daniel_lasco,RB,1.0,0.0,0.0,,
brandon_bolden,RB,1.0,0.0,0.0,,
derrick_coleman,RB,1.0,0.0,4.52,,
marquez_williams,RB,1.0,0.0,,,
michael_burton,RB,1.0,0.0,10.95,2.8,
taiwan_jones,RB,0.0,0.0,4.54,,
matt_dayes,RB,0.0,0.0,0.0,,
brandon_wilson,RB,0.0,0.0,,,
senorise_perry,RB,0.0,0.0,,,
david_fluellen,RB,0.0,0.0,8.1,,
antonio_brown,WR,323.0,211.0,215.44,203.1,321.7
deandre_hopkins,WR,272.0,178.0,174.03,169.0,281.3
odell_beckham,WR,264.0,163.0,159.22,196.6,275.8
julio_jones,WR,260.0,156.0,188.2,218.2,291.7
michael_thomas,WR,257.0,155.0,187.81,116.8,278.2
davante_adams,WR,246.0,152.0,148.09,66.1,251.4
keenan_allen,WR,241.0,146.0,192.51,8.7,278.8
aj_green,WR,239.0,145.0,149.43,133.6,266.3
jarvis_landry,WR,239.0,145.0,138.26,151.5,209.2
stefon_diggs,WR,235.0,139.0,142.22,127.8,227.3
mike_evans,WR,231.0,136.0,141.45,161.9,231.8
demaryius_thomas,WR,224.0,136.0,128.48,143.9,227.2
adam_thielen,WR,222.0,135.0,127.33,79.3,235.9
golden_tate,WR,221.0,133.0,124.19,123.2,215.9
larry_fitzgerald,WR,219.0,130.0,143.32,145.6,241.9
amari_cooper,WR,217.0,130.0,135.6,163.4,222.0
tyreek_hill,WR,216.0,129.0,153.8,74.0,231.3
doug_baldwin,WR,210.0,128.0,147.88,143.8,224.4
ty_hilton,WR,209.0,123.0,112.04,166.5,241.3
josh_gordon,WR,203.0,122.0,143.41,,201.1
michael_crabtree,WR,201.0,117.0,117.75,133.5,194.9
juju_smith-schuster,WR,194.0,116.0,144.69,,200.0
marvin_jones,WR,183.0,116.0,142.16,143.0,204.8
marquise_goodwin,WR,179.0,111.0,136.33,61.4,190.2
robby_anderson,WR,177.0,110.0,111.95,47.9,
sterling_shepard,WR,177.0,107.0,109.48,109.2,
corey_davis,WR,174.0,105.0,105.46,,196.8
emmanuel_sanders,WR,172.0,104.0,94.91,147.0,191.1
pierre_garcon,WR,170.0,103.0,114.05,101.9,
robert_woods,WR,169.0,103.0,138.54,67.6,
cooper_kupp,WR,169.0,101.0,130.33,,
jamison_crowder,WR,168.0,101.0,127.03,91.3,
allen_robinson,WR,167.0,98.0,115.61,144.5,222.0
brandin_cooks,WR,163.0,98.0,122.27,157.2,196.3
julian_edelman,WR,159.0,98.0,0.0,143.6,
nelson_agholor,WR,159.0,98.0,106.57,68.7,
jordy_nelson,WR,158.0,98.0,72.35,173.7,
chris_hogan,WR,155.0,97.0,106.5,71.4,198.5
sammy_watkins,WR,152.0,93.0,96.87,69.3,
will_fuller,WR,148.0,93.0,89.92,,
devin_funchess,WR,147.0,93.0,121.37,65.3,
mohamed_sanu,WR,146.0,93.0,103.13,93.4,
kenny_stills,WR,145.0,91.0,94.81,118.4,
randall_cobb,WR,145.0,90.0,101.49,118.5,
calvin_ridley,WR,145.0,89.0,46.77,,
geronimo_allison,WR,144.0,88.0,61.81,5.0,
john_brown,WR,143.0,87.0,70.44,116.1,
quincy_enunwa,WR,143.0,87.0,95.28,129.1,
josh_doctson,WR,142.0,86.0,89.18,8.0,
courtland_sutton,WR,140.0,86.0,45.65,,
ted_ginn,WR,138.0,86.0,121.8,87.6,
tyrell_williams,WR,138.0,86.0,101.58,134.6,
michael_gallup,WR,137.0,84.0,36.58,,
dede_westbrook,WR,136.0,84.0,85.74,,
keelan_cole,WR,136.0,83.0,103.89,,
desean_jackson,WR,136.0,82.0,101.44,140.4,
allen_hurns,WR,136.0,82.0,90.13,83.1,
paul_richardson,WR,135.0,82.0,64.56,32.5,
kenny_golladay,WR,135.0,81.0,103.34,,
kelvin_benjamin,WR,132.0,80.0,101.36,119.8,
alshon_jeffery,WR,129.0,79.0,108.82,135.3,
antonio_callaway,WR,129.0,79.0,29.93,,
dj_moore,WR,128.0,77.0,93.2,,
seth_roberts,WR,125.0,76.0,,82.2,
adam_humphries,WR,124.0,74.0,75.51,63.3,
devante_parker,WR,124.0,73.0,100.06,124.8,
ryan_grant,WR,121.0,72.0,88.35,19.3,
chester_rogers,WR,121.0,70.0,48.3,31.6,
christian_kirk,WR,120.0,70.0,43.93,,
