name,pos,pts_espn,pts_cbs,pts_nfl
plaxico_burress,WR,,,49.9
vance_mcdonald,TE,,,46.9
devin_hester,WR,,,46.1
craig_stevens,TE,,,45.4
randy_moss,WR,,,44.3
ramses_barden,WR,,,40.7
courtney_roby,WR,,,39.1
derek_hagan,WR,,,38.5
kevin_walter,WR,,,37.2
michael_jenkins,WR,,,35.4
marquise_goodwin,WR,,,35.3
aldrick_robinson,WR,,,34.7
austin_pettis,WR,,,34.1
rishard_matthews,WR,,,33.1
kevin_ogletree,WR,,,32.5
josh_cribbs,WR,,,31.5
lavon_brazill,WR,,,31.1
mike_thomas,WR,,,30.4
justin_brown,WR,,,29.4
keshawn_martin,WR,,,29.1
eric_weems,WR,,,28.7
deion_branch,WR,,,28.6
charles_johnson,WR,,,28.3
ryan_swope,WR,,,28.1
david_reed,WR,,,27.1
david_thomas,TE,,,27.1
matthew_slater,WR,,,26.5
jamie_harper,RB,,,26.4
tavarres_king,WR,,,26.1
andre_caldwell,WR,,,25.3
ben_obomanu,WR,,,24.6
devier_posey,WR,,,23.4
marquess_wilson,WR,,,23.1
ted_ginn,WR,,,22.7
chaz_schilens,WR,,,22.7
kevin_dorsey,WR,,,22.1
brandon_tate,WR,,,22.0
chris_harper,WR,,,21.4
devin_aromashodu,WR,,,20.4
damian_williams,WR,,,20.1
vonta_leach,RB,,,19.2
kris_durham,WR,,,18.9
david_nelson,WR,,,18.8
deon_butler,WR,,,18.7
lavelle_hawkins,WR,,,18.6
jordan_reed,TE,,,17.3
taiwan_jones,RB,,,17.2
billy_bajema,TE,,,12.8
owen_marecic,RB,,,11.7
montell_owens,RB,,,11.5
shaun_chapas,RB,,,10.0
michael_robinson,RB,,,10.0
niles_paul,TE,,,9.4
clay_harbor,TE,,,6.8
derek_anderson,QB,,,0.0
richard_bartel,QB,,,0.0
charlie_batch,QB,,,0.0
jimmy_clausen,QB,,,0.0
kellen_clemens,QB,,,0.0
bj_daniels,QB,,,0.0
jake_delhomme,QB,,,0.0
zac_dysert,QB,,,0.0
