key,name,pos,team,bye,adp,pass_tds,kick_0_19,rush_tds,kick_50,reception_tds,fumbles,pass_ints,df_points_allowed_per_game,rush_yds,receptions,kick_30_39,df_sacks,df_fumbles,pass_yds,df_safeties,kick_extra_points,df_ints,two_pts,df_tds,kick_20_29,reception_yds,kick_40_49
rivers_QB_LAC,Philip Rivers,QB,LAC,12.0,117.8,29.0,,0.2,,,0.6,12.6,,34.9,,,,,4321.3,,,,3.5,,,,
sanders_WR_DEN,Emmanuel Sanders,WR,DEN,10.0,118.8,,,0.4,,3.0,0.5,0.0,,26.5,55.6,,,,,,,,,,,679.2,
samuels_RB_PIT,Jaylen Samuels,RB,PIT,7.0,121.8,,,1.2,,2.0,0.6,,,286.2,32.4,,,,,,,,0.0,,,250.5,
roethlisberger_QB_PIT,Ben Roethlisberger,QB,PIT,7.0,124.0,29.0,,1.5,,,0.8,16.3,,85.9,,,,,4760.7,,,,3.0,,,,
brady_QB_NE,Tom Brady,QB,NE,10.0,124.8,29.2,,1.0,,,0.7,11.5,,36.6,,,,,4403.4,,,,0.5,,,,
funchess_WR_IND,Devin Funchess,WR,IND,6.0,125.0,,,0.0,,4.7,1.0,0.0,,0.3,46.9,,,,,,,,,,,592.3,
peterson_RB_WAS,Adrian Peterson,RB,WAS,10.0,125.3,,,3.3,,0.7,1.1,0.0,,510.3,13.9,,,,,,,,0.0,,,122.3,
ekeler_RB_LAC,Austin Ekeler,RB,LAC,12.0,125.8,,,2.6,,1.8,0.8,,,447.4,36.4,,,,,,,,0.0,,,343.5,
hooper_TE_ATL,Austin Hooper,TE,ATL,9.0,126.0,,,0.0,,4.2,1.0,0.0,,0.4,61.1,,,,,,,,,,,594.8,
allison_WR_GB,Geronimo Allison,WR,GB,11.0,126.3,,,0.0,,4.0,1.0,0.0,,0.9,51.4,,,,,,,,,,,720.1,
washington_WR_PIT,James Washington,WR,PIT,7.0,127.3,,,0.0,,3.4,1.0,0.0,,0.5,46.0,,,,,,,,,,,654.4,
walker_TE_TEN,Delanie Walker,TE,TEN,11.0,129.5,,,0.0,,3.8,1.0,0.0,,2.6,57.1,,,,,,,,,,,641.5,
foreman_RB_HOU,D'Onta Foreman,RB,HOU,10.0,130.3,,,3.4,,0.9,1.0,,,503.0,14.6,,,,,,,,0.0,,,139.9,
jaguars_DST_JAX,Jaguars,DST,JAX,10.0,130.3,,,,,,9.5,,21.0,,,,39.3,9.5,,0.3,,13.9,,2.2,,,
samuel_WR_CAR,Curtis Samuel,WR,CAR,7.0,131.8,,,1.4,,4.5,0.5,0.0,,98.0,46.8,,,,,,,,,0.0,,589.8,
winston_QB_TB,Jameis Winston,QB,TB,7.0,133.8,27.4,,1.5,,,1.8,17.6,,299.1,,,,,4503.6,,,,1.5,,,,
ravens_DST_BAL,Ravens,DST,BAL,8.0,134.3,,,,,,9.1,,19.8,,,,35.2,9.1,,0.3,,16.2,,2.2,,,
smith_RB_ATL,Ito Smith,RB,ATL,9.0,135.3,,,4.0,,0.6,1.2,,,470.4,22.9,,,,,,,,0.0,,,159.4,
jackson_WR_PHI,DeSean Jackson,WR,PHI,10.0,135.3,,,0.4,,4.0,0.5,0.0,,40.0,49.6,,,,,,,,,,,758.6,
chargers_DST_LAC,Chargers,DST,LAC,12.0,135.5,,,,,,9.7,,19.8,,,,41.0,9.7,,0.3,,13.9,,2.2,,,
coutee_WR_HOU,Keke Coutee,WR,HOU,10.0,136.0,,,0.0,,3.3,0.5,,,17.9,56.3,,,,,,,,,,,623.5,
burton_TE_CHI,Trey Burton,TE,CHI,6.0,136.5,,,0.0,,4.2,1.0,0.0,,1.4,47.8,,,,,,,,,,,526.1,
prescott_QB_DAL,Dak Prescott,QB,DAL,8.0,136.8,24.3,,5.1,,,1.3,10.9,,310.7,,,,,3850.3,,,,1.5,,,,
lewis_RB_TEN,Dion Lewis,RB,TEN,11.0,138.5,,,1.6,,0.9,1.1,,,366.2,44.7,,,,,,,,,,,320.9,
valdesscantling_WR_GB,Marquez Valdes-Scantling,WR,GB,11.0,139.5,,,0.1,,3.2,0.5,0.0,,25.0,45.9,,,,,,,,,,,643.9,
zuerlein_K_LAR,Greg Zuerlein,K,LAR,9.0,139.8,,0.4,,2.6,,,,,,,9.1,,,,,39.3,,,,8.6,,8.9
hockenson_TE_DET,T.J. Hockenson,TE,DET,5.0,141.3,,,0.0,,3.8,2.0,0.0,,0.4,42.9,,,,,,,,,,,471.8,
tucker_K_BAL,Justin Tucker,K,BAL,8.0,141.3,,0.4,,2.1,,,,,,,8.2,,,,,32.7,,,,8.4,,8.8
vikings_DST_MIN,Vikings,DST,MIN,12.0,144.0,,,,,,9.0,,21.0,,,,45.1,9.0,,0.3,,13.0,,2.0,,,
jackson_QB_BAL,Lamar Jackson,QB,BAL,8.0,144.8,17.2,,5.7,,,3.9,10.8,,880.1,,,,,3046.3,,,,1.0,,,,
rudolph_TE_MIN,Kyle Rudolph,TE,MIN,12.0,145.3,,,0.0,,4.4,1.0,0.0,,0.5,52.6,,,,,,,,,,,517.3,
harris_RB_NE,Damien Harris,RB,NE,10.0,149.0,,,2.5,,0.8,1.2,,,336.1,13.4,,,,,,,,0.0,,,115.7,
butker_K_KC,Harrison Butker,K,KC,12.0,149.3,,0.3,,1.2,,,,,,,9.7,,,,,37.6,,,,8.1,,8.0
trubisky_QB_CHI,Mitch Trubisky,QB,CHI,6.0,150.3,24.8,,2.6,,,1.7,13.5,,361.0,,,,,3757.0,,,,3.2,,,,
breida_RB_SF,Matt Breida,RB,SF,4.0,150.5,,,2.9,,1.3,0.7,,,475.6,20.3,,,,,,,,0.0,,,181.9,
campbell_WR_IND,Parris Campbell,WR,IND,6.0,150.8,,,0.0,,4.1,1.0,0.0,,29.0,48.1,,,,,,,,,,,610.7,
cousins_QB_MIN,Kirk Cousins,QB,MIN,12.0,151.5,26.6,,2.2,,,1.6,12.4,,148.6,,,,,4141.5,,,,1.5,,,,
texans_DST_HOU,Texans,DST,HOU,10.0,151.8,,,,,,12.6,,21.4,,,,36.4,12.6,,0.3,,13.9,,2.2,,,
fairbairn_K_HOU,Ka'imi Fairbairn,K,HOU,10.0,152.5,,0.2,,1.6,,,,,,,8.4,,,,,34.1,,,,7.0,,8.6
garoppolo_QB_SF,Jimmy Garoppolo,QB,SF,4.0,152.8,27.5,,1.2,,,0.4,14.3,,113.8,,,,,4332.6,,,,1.4,,,,
browns_DST_CLE,Browns,DST,CLE,7.0,153.0,,,,,,11.3,,21.6,,,,37.7,11.3,,0.3,,15.4,,2.2,,,
graham_TE_GB,Jimmy Graham,TE,GB,11.0,153.3,,,0.0,,4.0,1.0,0.0,,0.8,50.8,,,,,,,,,,,555.8,
herndon_TE_NYJ,Chris Herndon IV,TE,NYJ,4.0,153.8,,,0.0,,4.4,0.0,0.0,,0.5,42.2,,,,,,,,,,,525.7,
allen_QB_BUF,Josh Allen,QB,BUF,6.0,154.3,16.9,,7.1,,,2.0,15.0,,661.9,,,,,3199.7,,,,1.4,,,,
olsen_TE_CAR,Greg Olsen,TE,CAR,7.0,154.8,,,0.0,,4.6,0.0,0.0,,0.6,46.9,,,,,,,,,,,547.9,
williams_WR_OAK,Tyrell Williams,WR,OAK,6.0,155.5,,,0.0,,3.8,0.5,0.0,,5.4,52.6,,,,,,,,,,,757.5,
miller_WR_CHI,Anthony Miller,WR,CHI,6.0,155.8,,,0.0,,5.1,0.0,,,20.1,39.3,,,,,,,,,,,520.6,
lutz_K_NO,Wil Lutz,K,NO,9.0,158.8,,0.7,,1.2,,,,,,,8.0,,,,,37.8,,,,7.0,,8.7
gallup_WR_DAL,Michael Gallup,WR,DAL,8.0,163.3,,,0.0,,4.0,0.0,0.0,,0.3,47.0,,,,,,,,,,,706.0,
singletary_RB_BUF,Devin Singletary,RB,BUF,6.0,163.3,,,1.2,,0.4,0.6,,,204.3,9.4,,,,,,,,0.0,,,83.4,
moncrief_WR_PIT,Donte Moncrief,WR,PIT,7.0,163.5,,,0.0,,4.4,1.0,0.0,,1.2,54.2,,,,,,,,,,,711.7,
hines_RB_IND,Nyheim Hines,RB,IND,6.0,164.0,,,2.0,,1.4,0.6,,,300.3,39.7,,,,,,,,0.0,0.5,,312.7,
reed_TE_WAS,Jordan Reed,TE,WAS,10.0,164.3,,,,,4.2,1.0,0.0,,1.3,71.4,,,,,,,,,,,720.4,
gostkowski_K_NE,Stephen Gostkowski,K,NE,10.0,165.0,,0.4,,1.1,,,,,,,9.2,,,,,40.8,,,,8.8,,8.0
johnson_RB_CLE,Duke Johnson,RB,CLE,7.0,165.3,,,1.3,,1.7,0.5,,,247.2,36.4,,,,,,,,1.1,,,324.2,
fant_TE_DEN,Noah Fant,TE,DEN,10.0,168.5,,,0.0,,3.1,1.0,0.0,,0.6,41.2,,,,,,,,,,,477.6,
carr_QB_OAK,Derek Carr,QB,OAK,6.0,172.5,23.3,,0.6,,,0.9,12.1,,58.5,,,,,4089.5,,,,1.5,,,,
davis_RB_CHI,Mike Davis,RB,CHI,6.0,173.8,,,2.5,,0.3,0.7,,,321.7,19.3,,,,,,,,0.6,,,128.9,
stafford_QB_DET,Matthew Stafford,QB,DET,5.0,174.8,24.6,,0.6,,,0.8,11.9,,78.0,,,,,3942.5,,,,1.0,,,,
broncos_DST_DEN,Broncos,DST,DEN,10.0,175.8,,,,,,11.4,,22.0,,,,41.9,11.4,,0.3,,13.7,,2.1,,,
williams_RB_GB,Jamaal Williams,RB,GB,11.0,177.3,,,2.9,,1.0,2.0,,,439.3,25.6,,,,,,,,0.0,0.7,,223.1,
hill_RB_BAL,Justice Hill,RB,BAL,8.0,178.3,,,2.1,,0.4,1.1,,,245.8,10.5,,,,,,,,0.0,,,89.3,
saints_DST_NO,Saints,DST,NO,9.0,180.8,,,,,,11.3,,20.4,,,,40.6,11.3,,0.3,,14.7,,2.5,,,
ballage_RB_MIA,Kalen Ballage,RB,MIA,5.0,181.0,,,2.9,,0.2,3.0,,,488.1,14.6,,,,,,,,0.0,0.7,,118.3,
