key,name,pos,team,bye,adp,rush_yds,kick_50,df_ints,fumbles,df_safeties,reception_yds,receptions,pass_yds,kick_40_49,kick_30_39,df_points_allowed_per_game,reception_tds,kick_0_19,df_tds,df_fumbles,rush_tds,pass_ints,df_sacks,kick_extra_points,kick_20_29,pass_tds,two_pts
driskel_QB_CIN,Jeff Driskel,QB,CIN,,-1.0,22.0,,,0.1,,,,222.2,,,,,,,,0.2,1.1,,,,0.9,0.5
dwelley_TE_SF,Ross Dwelley,TE,SF,,-1.0,,,,0.0,,105.0,11.0,,,,,1.0,,,,,,,,,,
ellison_TE_NYG,Rhett Ellison,TE,NYG,,-1.0,0.3,,,0.0,,191.0,18.5,,,,,1.4,,,,0.0,,,,,,
erickson_WR_CIN,Alex Erickson,WR,CIN,,-1.0,15.0,,,0.0,,83.0,6.1,,,,,0.2,,,,0.1,,,,,,
ervin_RB_BAL,Tyler Ervin,RB,BAL,,-1.0,37.0,,,0.0,,48.1,6.2,,,,,0.3,,,,0.3,,,,,,0.0
fells_TE_HOU,Darren Fells,TE,HOU,,-1.0,1.0,,,,,66.5,5.9,,,,,0.6,,,,,0.0,,,,,
ferguson_RB_HOU,Josh Ferguson,RB,HOU,,-1.0,33.0,,,,,31.0,4.0,,,,,0.0,,,,0.0,,,,,,
finley_QB_CIN,Ryan Finley,QB,CIN,,-1.0,2.0,,,,,,,152.0,,,,,,,,0.0,1.0,,,,1.0,
firkser_TE_TEN,Anthony Firkser,TE,TEN,,-1.0,0.2,,,,,137.0,11.3,,,,,0.7,,,,0.0,,,,,,
fluellen_RB_TEN,David Fluellen,RB,TEN,,-1.0,50.9,,,0.1,,33.8,3.8,,,,,0.1,,,,0.2,,,,,,0.0
foles_QB_JAX,Nick Foles,QB,JAX,,-1.0,44.1,,,1.0,,,,3899.1,,,,,,,,1.1,14.3,,,,20.9,0.5
fournette_RB_JAX,Leonard Fournette,RB,JAX,,-1.0,966.3,,,,,439.8,53.4,,,,,1.4,,,,8.0,0.0,,,,,0.0
fowler_WR_NYG,Bennie Fowler,WR,NYG,,-1.0,0.2,,,,,182.7,15.0,,,,,1.0,,,,0.0,,,,,,
franks_TE_CIN,Jordan Franks,TE,CIN,,-1.0,,,,0.0,,121.0,10.0,,,,,1.0,,,,,,,,,,
fulgham_WR_DET,Travis Fulgham,WR,DET,,-1.0,0.0,,,,,127.0,10.0,,,,,1.0,,,,0.0,,,,,,
gabbert_QB_TB,Blaine Gabbert,QB,TB,,-1.0,1.7,,,0.0,,,,231.4,,,,,,,,0.1,1.2,,,,1.3,0.4
gage_WR_ATL,Russell Gage,WR,ATL,,-1.0,0.4,,,,,147.8,11.8,,,,,1.0,,,,0.0,,,,,,
gaskin_RB_MIA,Myles Gaskin,RB,MIA,,-1.0,121.8,,,0.3,,47.7,6.4,,,,,0.2,,,,0.6,,,,,,0.0
gentry_TE_PIT,Zach Gentry,TE,PIT,,-1.0,0.4,,,0.0,,100.2,10.0,,,,,0.6,,,,0.0,,,,,,
gibson_WR_PHI,Shelton Gibson,WR,PHI,,-1.0,1.3,,,,,27.3,,,,,,0.0,,,,,,,,,,
glennon_QB_OAK,Mike Glennon,QB,OAK,,-1.0,2.0,,,0.5,,,,101.4,,,,,,,,0.0,0.5,,,,0.4,1.0
gore_RB_IND,Frank Gore,RB,IND,,-1.0,417.0,,,1.0,,106.0,11.0,,,,,1.0,,,,2.0,,,,,,
grant_RB_JAC,Corey Grant,RB,JAC,,-1.0,140.0,,,0.0,,69.0,8.0,,,,,0.0,,,,1.0,,,,,,
grant_WR_OAK,Ryan Grant,WR,OAK,,-1.0,0.2,,,0.0,,251.4,23.7,,,,,1.2,,,,0.0,0.0,,,,,
grayson_WR_KC,Davon Grayson,WR,KC,,-1.0,1.6,,,,,55.6,4.8,,,,,0.3,,0.0,,0.0,,,,,,
green_TE_LAC,Virgil Green,TE,LAC,,-1.0,0.8,,,1.0,,161.1,14.7,,,,,1.3,,,,0.0,0.0,,,,,
