key,name,pos,team,bye,std,half_ppr,ppr,fumbles,df_points_allowed_per_game,kick_30_39,pass_tds,reception_tds,kick_extra_points,df_fumbles,kick_50,df_tds,df_ints,two_pts,df_sacks,kick_40_49,rush_tds,pass_yds,kick_0_19,receptions,reception_yds,pass_ints,df_safeties,rush_yds,kick_20_29
stafford_QB_LAR,Matthew Stafford,QB,LAR,11.0,84.3,91.5,88.6,2.2,,,28.1,,,,,,,1.6,,,0.7,4662.5,,,,12.7,,122.4,
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,13.0,85.0,97.3,96.2,1.3,,,31.2,,,,,,,2.2,,,4.3,4117.5,,,,11.3,,270.5,
anderson_WR_CAR,Robby Anderson,WR,CAR,13.0,86.3,81.8,77.8,0.5,,,,5.0,,,,,,,,,0.0,,,82.8,1021.2,0.0,,18.8,
thomas_TE_WSH,Logan Thomas,TE,WSH,9.0,86.8,81.5,83.4,0.5,,,,5.8,,,,,,,,,0.0,,,71.9,713.9,0.0,,16.4,
samuel_WR_SF,Deebo Samuel,WR,SF,6.0,88.8,86.5,88.2,0.5,,,,5.0,,,,,,,,,1.1,,,76.2,941.9,0.0,,128.0,
moss_RB_BUF,Zack Moss,RB,BUF,7.0,90.0,95.8,101.6,1.1,,,,1.3,,,,,,0.0,,,4.7,,,21.0,152.3,,,611.2,
tonyan_TE_GB,Robert Tonyan,TE,GB,13.0,90.0,92.0,89.0,0.0,,,,6.4,,,,,,,,,0.0,,,52.7,586.3,0.0,,0.5,
boyd_WR_CIN,Tyler Boyd,WR,CIN,10.0,90.8,92.0,90.6,0.5,,,,5.4,,,,,,,,,0.1,,,82.4,899.9,0.0,,32.4,
chark_WR_JAX,D.J. Chark Jr.,WR,JAX,7.0,91.5,95.5,98.6,1.0,,,,6.1,,,,,,,,,0.0,,,68.6,920.3,0.0,,5.0,
conner_RB_ARI,James Conner,RB,ARI,12.0,92.0,96.8,102.0,1.3,,,,1.0,,,,,,0.0,,,5.3,,,27.8,214.5,,,658.1,
