key,name,pos,team,bye,std,half_ppr,ppr,df_ints,rush_tds,two_pts,fumbles,kick_20_29,pass_yds,kick_extra_points,df_points_allowed_per_game,kick_50,df_safeties,pass_tds,reception_tds,rush_yds,receptions,df_fumbles,kick_40_49,pass_ints,reception_yds,df_tds,kick_30_39,df_sacks,kick_0_19
hokit_RB_SF,Josh Hokit,RB,SF,,-1.0,-1.0,-1.0,,0.0,0.0,,,,,,,,,0.0,2.2,0.9,,,,5.3,,,,
hollins_WR_LV,Mack Hollins,WR,LV,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.8,0.4,5.3,,,,84.7,,,,
hollister_TE_LV,Jacob Hollister,TE,LV,,-1.0,-1.0,-1.0,,,,0.0,,,,,,,,0.8,0.6,11.2,,,,110.1,,,,
homer_RB_SEA,Travis Homer,RB,SEA,,-1.0,-1.0,-1.0,,0.7,0.0,0.0,,,,,,,,0.2,140.2,10.9,,,,101.9,,,,
hopkins_TE_LAR,Brycen Hopkins,TE,LAR,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.6,0.3,7.5,,,,77.6,,,,
horsted_TE_LV,Jesper Horsted,TE,LV,,-1.0,-1.0,-1.0,,,,,,,,,,,,0.5,0.7,5.1,,,,59.8,,,,
howell_QB_WSH,Sam Howell,QB,WSH,,-1.0,-1.0,-1.0,,0.0,,,,52.0,,,,,0.0,,2.0,,,,0.0,,,,,
hoyer_QB_NE,Brian Hoyer,QB,NE,,-1.0,-1.0,-1.0,,0.1,,0.1,,216.8,,,,,1.0,,2.7,,,,1.1,,,,,
hudson_TE_TEN,Tommy Hudson,TE,TEN,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.3,6.2,,,,59.7,,,,
huntley_RB_PHI,Jason Huntley,RB,PHI,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,57.0,3.0,,,,24.0,,,,
igwebuike_RB_DET,Godwin Igwebuike,RB,DET,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,52.0,4.0,,,,29.0,,,,
ingold_RB_MIA,Alec Ingold,RB,MIA,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,17.0,4.0,,,,32.0,,,,
isabella_WR_ARI,Andy Isabella,WR,ARI,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.7,1.2,,,,30.8,,,,
jackson_RB_IND,Deon Jackson,RB,IND,,-1.0,-1.0,-1.0,,1.0,,,,,,,,,,0.0,75.0,2.0,,,,14.0,,,,
jackson_TE_PHI,Tyree Jackson,TE,PHI,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.7,0.4,7.1,,,,73.9,,,,
jaguars_DST_JAX,Jaguars,DST,JAX,,-1.0,-1.0,-1.0,12.5,,,8.5,,,,26.1,,0.3,,,,,8.5,,,,2.0,,38.3,
james_WR_NYG,Richie James,WR,NYG,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,1.0,0.0,12.0,,,,154.0,,,,
janovich_RB_HOU,Andy Janovich,RB,HOU,,-1.0,-1.0,-1.0,,0.0,0.0,,,,,,,,,0.2,0.1,4.0,,,,27.1,,,,
jefferson_RB_DET,Jermar Jefferson,RB,DET,,-1.0,-1.0,-1.0,,3.0,,0.0,,,,,,,,0.0,136.0,4.0,,,,26.0,,,,
jets_DST_NYJ,Jets,DST,NYJ,10.0,-1.0,208.0,208.0,13.4,,,10.5,,,,26.3,,0.3,,,,,10.5,,,,1.7,,38.8,
johnson_QB_DEN,Josh Johnson,QB,DEN,,-1.0,-1.0,-1.0,,0.0,,0.0,,209.0,,,,,1.5,,15.5,,,,0.5,,,,,
johnson_RB_LV,Jakob Johnson,RB,LV,,-1.0,-1.0,-1.0,,0.0,0.0,0.0,,,,,,,,0.4,6.1,8.2,,,,64.4,,,,
johnson_TE_NO,Juwan Johnson,TE,NO,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.0,0.0,5.5,,,,58.0,,,,
johnson_WR_LV,Tyron Johnson,WR,LV,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,5.0,,,,67.0,,,,
johnson_WR_MIN,Bisi Johnson,WR,MIN,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.6,0.3,4.5,,,,58.4,,,,
johnson_WR_NO,Juwan Johnson,WR,NO,,-1.0,-1.0,-1.0,,,,,,,,,,,,0.1,0.1,1.0,,,,9.3,,,,
johnson_WR_TB,Tyler Johnson,WR,TB,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.6,2.4,13.1,,,,148.0,,,,
jones_RB_NO,Tony Jones Jr.,RB,NO,14.0,-1.0,233.0,242.0,,0.4,0.0,0.1,,,,,,,,0.1,94.2,3.9,,,,33.1,,,,
jones_WR_TEN,Julio Jones,WR,TEN,,-1.0,-1.0,-1.0,,0.0,,1.0,,,,,,,,3.0,0.0,61.0,,,,834.0,,,,
juszczyk_RB_SF,Kyle Juszczyk,RB,SF,,-1.0,-1.0,-1.0,,0.4,,0.0,,,,,,,,1.3,28.1,23.4,,,0.0,208.6,,,,
kampmoyer_TE_LAC,Hunter Kampmoyer,TE,LAC,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,4.0,,,,40.0,,,,
keene_TE_NE,Dalton Keene,TE,NE,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.0,10.0,,,,94.5,,,,
keenum_QB_BUF,Case Keenum,QB,BUF,,-1.0,-1.0,-1.0,,0.0,0.4,0.1,,210.3,,,,,1.5,,4.9,,,,1.0,,,,,
kelley_RB_LAC,Joshua Kelley,RB,LAC,,-1.0,-1.0,-1.0,,1.6,0.0,2.2,,,,,,,,0.1,269.5,6.9,,,,52.0,,,,
