"","name","pos","team","vor","adp","pred","replace_value","experts","overall","href"
"124","Robert Turbin","RB","Colts",-72.6680390536977,0,32.19153104577,104.859570099468,32.08,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14894.png"
"125","Rod Smith","RB","Cowboys",-63.3392608860744,0,41.5203092133933,104.859570099468,48.68,71,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17781.png"
"126","Ronald Jones","RB","Buccaneers",0,61,104.859570099468,104.859570099468,143.686666666667,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18597.png"
"127","Royce Freeman","RB","Broncos",-8.4288624084232,54,96.4307076910445,104.859570099468,140.856666666667,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18630.png"
"128","Saquon Barkley","RB","Giants",52.7002795315157,6,157.559849630983,104.859570099468,223.706666666667,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18567.png"
"129","Sony Michel","RB","Patriots",-3.60975010622695,62,101.249819993241,104.859570099468,137.263333333333,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18589.png"
"130","Spencer Ware","RB","Chiefs",-26.5215306172428,0,78.3380394822249,104.859570099468,90.7633333333333,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16020.png"
"131","T.J. Logan","RB","Cardinals",-71.7295094670748,0,33.1300606323929,104.859570099468,31.095,72,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18286.png"
"132","T.J. Yeldon","RB","Jaguars",-27.5939888097982,195,77.2655812896695,104.859570099468,91.685,78,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17678.png"
"133","Tarik Cohen","RB","Bears",-9.56929537687601,87,95.2902747225917,104.859570099468,110.453333333333,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18171.png"
"134","Tavon Austin","RB","Cowboys",-51.2028116377468,0,53.6567584617209,104.859570099468,44.08,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15786.png"
"135","Terrance West","RB","Saints",-38.6515027527123,0,66.2080673467554,104.859570099468,80.95,75,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16783.png"
"136","Tevin Coleman","RB","Falcons",6.68070427064927,49,111.540274370117,104.859570099468,132.9225,86,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17689.png"
"137","Theo Riddick","RB","Lions",-15.8833104377781,178,88.9762596616896,104.859570099468,96.9125,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15994.png"
"138","Thomas Rawls","RB","Jets",-21.1051358743483,0,83.7544342251194,104.859570099468,118.3,73,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17739.png"
"139","Todd Gurley","RB","Rams",92.4429850902699,1,197.302555189738,104.859570099468,279.2225,92,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17683.png"
"140","Travaris Cadet","RB","Bills",-62.2684276437132,0,42.5911424557545,104.859570099468,42.0166666666667,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15457.png"
"141","Ty Montgomery","RB","Packers",-14.4485830797909,125,90.4109870196768,104.859570099468,106.7975,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17611.png"
"142","Wayne Gallman","RB","Giants",-57.6724121348249,0,47.1871579646428,104.859570099468,50.195,74,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18233.png"
