key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
flacco_QB_DEN,Joe Flacco,QB,DEN,20.07,3468.39,11.69,1.03,85.64,,,,0.95,0.51,,,,,,,,,,,,
miller_RB_HOU,Lamar Miller,RB,HOU,,,0.01,5.38,928.58,40.26,1.58,316.88,,,,,,,,,,,,,,
watkins_WR_KC,Sammy Watkins,WR,KC,,,0.01,0.12,22.81,71.01,5.73,982.17,,0.03,,,,,,,,,,,,
jeffery_WR_PHI,Alshon Jeffery,WR,PHI,,,0.01,0.01,2.33,69.06,6.05,990.97,,,,,,,,,,,,,,
mccoy_RB_BUF,LeSean McCoy,RB,BUF,,,0.01,4.7,886.48,43,1.46,353.14,,0.47,,,,,,,,,,,,
robinson_WR_CHI,Allen Robinson,WR,CHI,,,0.01,0.02,7.1,69.15,5.95,973,,0.01,,,,,,,,,,,,
golladay_WR_DET,Kenny Golladay,WR,DET,,,0.01,0.02,8.53,70.21,5.77,968.15,,0.01,,,,,,,,,,,,
montgomery_RB_CHI,David Montgomery,RB,CHI,,,0.01,6.26,925.64,34.04,1.52,290.43,0.16,1.14,,,,,,,,,,,,
williams_WR_LAC,Mike Williams,WR,LAC,,,0.01,0.06,27.26,66.03,5.94,949.49,,0.03,,,,,,,,,,,,
mack_RB_IND,Marlon Mack,RB,IND,,,0.01,8.1,1082.79,21.8,0.69,161.09,0.6,0.78,,,,,,,,,,,,
landry_WR_CLE,Jarvis Landry,WR,CLE,,,0.01,0.03,26.69,73.73,5.29,876.17,,0.02,,,,,,,,,,,,
westbrook_WR_JAX,Dede Westbrook,WR,JAX,,,0.01,1.12,82.56,71.32,4.62,788.64,,0.05,,,,,,,,,,,0.25,
reed_TE_WAS,Jordan Reed,TE,WAS,,,0.01,,1.29,78.73,5.32,785.4,,,,,,,,,,,,,,
sanu_WR_ATL,Mohamed Sanu,WR,ATL,,,0.01,0.18,37.21,69.67,4.67,861.15,,0.03,,,,,,,,,,,,
freeman_RB_ATL,Devonta Freeman,RB,ATL,,,0.01,5.46,740.28,40.52,1.72,311.63,,0.86,,,,,,,,,,,,
