name,pos,team,fpts,each_fumble_recovered,each_interception,each_pass_completed_&_each_pass_attempted,each_reception,each_sack,extra_points_made_,fantasy_points,field_goals_made_,interceptions_thrown,passing_yards,points_allowed,receiving_target,receiving_yards,receiving_yards_per_catch,rushing_attempts,rushing_yards,rushing_yards_per_attempt,td_pass,td_reception,td_rush,total_return_td,yards_allowed
Derrius Guice,RB,WSH,148.1,,,,32.0,,,148.1,,,,,,251.0,,194.0,810.0,4.2,,1.0,6.0,,
Tevin Coleman,RB,SF,128.4,,,,32.0,,,128.4,,,,,,318.0,,132.0,608.0,4.6,,2.0,4.0,,
LeSean McCoy,RB,BUF,118.9,,,,33.0,,,118.9,,,,,,251.0,,169.0,677.0,4.0,,1.0,4.0,,
Deshaun Watson,QB,HOU,320.7,,,332.0,,,,320.7,,11.0,3936.0,,,,,98.0,613.0,,26.0,,4.0,,
Aaron Rodgers,QB,GB,312.2,,,358.0,,,,312.2,,7.0,4195.0,,,,,46.0,259.0,,32.0,,2.0,,
Matt Ryan,QB,ATL,316.0,,,395.0,,,,316.0,,8.0,4642.0,,,,,35.0,115.0,,33.0,,1.0,,
Andrew Luck,QB,IND,305.0,,,386.0,,,,305.0,,14.0,4330.0,,,,,53.0,220.0,,34.0,,1.0,,
Marvin Jones Jr.,WR,DET,126.3,,,,59.0,,,126.3,,,,,102.0,858.0,14.4,0.0,0.0,,,7.0,0.0,,
Sterling Shepard,WR,NYG,121.6,,,,67.0,,,121.6,,,,,108.0,872.0,13.0,4.0,25.0,,,5.0,0.0,,
Dede Westbrook,WR,JAX,112.2,,,,69.0,,,112.2,,,,,107.0,788.0,11.4,8.0,52.0,,,4.0,0.0,,
Will Fuller V,WR,HOU,102.7,,,,51.0,,,102.7,,,,,86.0,739.0,14.4,0.0,0.0,,,5.0,0.0,,
Corey Davis,WR,TEN,103.4,,,,57.0,,,103.4,,,,,96.0,755.0,13.3,4.0,24.0,,,4.0,0.0,,
Dante Pettis,WR,SF,109.6,,,,56.0,,,109.6,,,,,92.0,806.0,14.3,0.0,0.0,,,5.0,0.0,,
Golden Tate,WR,NYG,95.1,,,,68.0,,,95.1,,,,,103.0,736.0,10.9,4.0,23.0,,,3.0,0.0,,
Larry Fitzgerald,WR,ARI,106.1,,,,66.0,,,106.1,,,,,103.0,730.0,11.1,0.0,0.0,,,6.0,0.0,,
Jared Cook,TE,NO,104.8,,,,54.0,,,104.8,,,,,81.0,683.0,12.8,0.0,0.0,,,6.0,0.0,,
Darrell Henderson,RB,LAR,94.7,,,,24.0,,,94.7,,,,,,208.0,,112.0,507.0,4.5,,1.0,3.0,,
Latavius Murray,RB,NO,107.9,,,,22.0,,,107.9,,,,,,157.0,,139.0,565.0,4.1,,0.0,6.0,,
Nyheim Hines,RB,IND,93.7,,,,46.0,,,93.7,,,,,,345.0,,80.0,332.0,4.2,,2.0,2.0,,
Rashaad Penny,RB,SEA,107.1,,,,24.0,,,107.1,,,,,,196.0,,138.0,617.0,4.5,,1.0,3.0,,
Austin Ekeler,RB,LAC,98.2,,,,37.0,,,98.2,,,,,,326.0,,93.0,423.0,4.5,,2.0,2.0,,
Jordan Howard,RB,PHI,109.5,,,,16.0,,,109.5,,,,,,125.0,,154.0,628.0,4.1,,1.0,5.0,,
Peyton Barber,RB,TB,111.1,,,,31.0,,,111.1,,,,,,224.0,,161.0,630.0,3.9,,1.0,3.0,,
Ronald Jones,RB,TB,104.1,,,,27.0,,,104.1,,,,,,204.0,,139.0,576.0,4.1,,1.0,4.0,,
Jerick McKinnon,RB,SF,89.5,,,,34.0,,,89.5,,,,,,255.0,,98.0,394.0,4.0,,1.0,3.0,,
Keke Coutee,WR,HOU,98.3,,,,62.0,,,98.3,,,,,91.0,697.0,11.2,8.0,38.0,,,4.0,0.0,,
Christian Kirk,WR,ARI,103.2,,,,59.0,,,103.2,,,,,92.0,776.0,13.2,4.0,22.0,,,4.0,0.0,,
Geronimo Allison,WR,GB,100.9,,,,56.0,,,100.9,,,,,88.0,729.0,13.1,0.0,0.0,,,5.0,0.0,,
N'Keal Harry,WR,NE,103.7,,,,55.0,,,103.7,,,,,88.0,730.0,13.3,2.0,14.0,,,5.0,0.0,,
Emmanuel Sanders,WR,DEN,72.2,,,,46.0,,,72.2,,,,,70.0,571.0,12.3,1.0,8.0,,,2.0,0.0,,
Delanie Walker,TE,TEN,96.3,,,,59.0,,,96.3,,,,,87.0,701.0,11.9,0.0,0.0,,,4.0,0.0,,
Eric Ebron,TE,IND,94.2,,,,47.0,,,94.2,,,,,77.0,536.0,11.3,4.0,14.0,,,6.0,0.0,,
Vance McDonald,TE,PIT,94.8,,,,55.0,,,94.8,,,,,82.0,658.0,12.0,0.0,0.0,,,5.0,0.0,,
Cam Newton,QB,CAR,308.7,,,340.0,,,,308.7,,12.0,3819.0,,,,,111.0,543.0,,25.0,,5.0,,
Baker Mayfield,QB,CLE,280.0,,,355.0,,,,280.0,,15.0,4237.0,,,,,46.0,160.0,,31.0,,1.0,,
Courtland Sutton,WR,DEN,102.5,,,,51.0,,,102.5,,,,,96.0,766.0,14.9,1.0,3.0,,,4.0,0.0,,
Michael Gallup,WR,DAL,105.2,,,,50.0,,,105.2,,,,,92.0,749.0,14.9,0.0,0.0,,,5.0,0.0,,
DeSean Jackson,WR,PHI,105.4,,,,45.0,,,105.4,,,,,78.0,753.0,16.9,4.0,25.0,,,4.0,0.0,,
Curtis Samuel,WR,CAR,105.3,,,,49.0,,,105.3,,,,,81.0,604.0,12.4,13.0,90.0,,,5.0,1.0,,
James Washington,WR,PIT,98.2,,,,53.0,,,98.2,,,,,95.0,729.0,13.6,0.0,0.0,,,4.0,0.0,,
Jack Doyle,TE,IND,88.6,,,,63.0,,,88.6,,,,,83.0,572.0,9.0,0.0,0.0,,,5.0,0.0,,
David Njoku,TE,CLE,95.3,,,,54.0,,,95.3,,,,,83.0,640.0,11.9,0.0,0.0,,,5.0,0.0,,
Ben Roethlisberger,QB,PIT,284.2,,,411.0,,,,284.2,,16.0,4739.0,,,,,31.0,71.0,,29.0,,1.0,,
Drew Brees,QB,NO,282.3,,,377.0,,,,282.3,,8.0,4265.0,,,,,31.0,23.0,,29.0,,2.0,,
Carson Wentz,QB,PHI,291.8,,,361.0,,,,291.8,,10.0,4122.0,,,,,54.0,206.0,,31.0,,2.0,,
Dak Prescott,QB,DAL,298.2,,,340.0,,,,298.2,,9.0,3787.0,,,,,66.0,334.0,,25.0,,6.0,,
Russell Wilson,QB,SEA,281.0,,,296.0,,,,281.0,,7.0,3610.0,,,,,72.0,370.0,,27.0,,2.0,,
D'Onta Foreman,RB,HOU,99.2,,,,20.0,,,99.2,,,,,,167.0,,140.0,579.0,4.1,,1.0,4.0,,
Royce Freeman,RB,DEN,95.8,,,,17.0,,,95.8,,,,,,125.0,,144.0,577.0,4.0,,0.0,4.0,,
Carlos Hyde,RB,KC,71.0,,,,13.0,,,71.0,,,,,,79.0,,101.0,384.0,3.8,,1.0,4.0,,
Matt Breida,RB,SF,85.3,,,,16.0,,,85.3,,,,,,141.0,,106.0,495.0,4.7,,1.0,3.0,,
Kalen Ballage,RB,MIA,82.8,,,,17.0,,,82.8,,,,,,132.0,,120.0,516.0,4.3,,0.0,3.0,,
Jared Goff,QB,LAR,276.6,,,345.0,,,,276.6,,11.0,4317.0,,,,,38.0,107.0,,28.0,,2.0,,
Kyler Murray,QB,ARI,279.1,,,315.0,,,,279.1,,13.0,3662.0,,,,,106.0,586.0,,22.0,,3.0,,
Tom Brady,QB,NE,270.8,,,385.0,,,,270.8,,11.0,4346.0,,,,,30.0,49.0,,28.0,,1.0,,
Donte Moncrief,WR,PIT,94.1,,,,50.0,,,94.1,,,,,88.0,664.0,13.2,0.0,0.0,,,5.0,0.0,,
Tyrell Williams,WR,OAK,100.9,,,,53.0,,,100.9,,,,,83.0,793.0,14.9,0.0,0.0,,,4.0,0.0,,
DaeSean Hamilton,WR,DEN,89.4,,,,64.0,,,89.4,,,,,100.0,694.0,10.9,0.0,0.0,,,3.0,0.0,,
Jamison Crowder,WR,NYJ,91.9,,,,54.0,,,91.9,,,,,83.0,662.0,12.2,4.0,24.0,,,4.0,0.0,,
Adam Humphries,WR,TEN,82.5,,,,59.0,,,82.5,,,,,82.0,634.0,10.8,4.0,24.0,,,3.0,0.0,,
Parris Campbell,WR,IND,83.6,,,,53.0,,,83.6,,,,,77.0,572.0,10.8,4.0,24.0,,,4.0,0.0,,
Marquise Brown,WR,BAL,91.8,,,,46.0,,,91.8,,,,,83.0,685.0,15.0,5.0,33.0,,,3.0,0.0,,
Mecole Hardman,WR,KC,77.8,,,,34.0,,,77.8,,,,,58.0,480.0,14.2,12.0,69.0,,,3.0,0.0,,
Austin Hooper,TE,ATL,88.8,,,,57.0,,,88.8,,,,,75.0,579.0,10.1,0.0,0.0,,,5.0,0.0,,
Greg Olsen,TE,CAR,93.2,,,,49.0,,,93.2,,,,,76.0,624.0,12.8,0.0,0.0,,,5.0,0.0,,
Trey Burton,TE,CHI,84.4,,,,53.0,,,84.4,,,,,78.0,580.0,10.9,0.0,0.0,,,4.0,0.0,,
Mohamed Sanu,WR,ATL,96.2,,,,57.0,,,96.2,,,,,80.0,689.0,12.1,5.0,31.0,,,4.0,0.0,,
Kenny Stills,WR,MIA,100.1,,,,51.0,,,100.1,,,,,93.0,768.0,15.2,0.0,0.0,,,4.0,0.0,,
Anthony Miller,WR,CHI,87.0,,,,44.0,,,87.0,,,,,73.0,574.0,13.0,4.0,20.0,,,4.0,0.0,,
Devin Funchess,WR,IND,76.2,,,,36.0,,,76.2,,,,,65.0,474.0,13.3,0.0,0.0,,,5.0,0.0,,
Mitchell Trubisky,QB,CHI,276.9,,,340.0,,,,276.9,,12.0,3827.0,,,,,67.0,386.0,,25.0,,3.0,,
Philip Rivers,QB,LAC,263.7,,,354.0,,,,263.7,,12.0,4237.0,,,,,19.0,33.0,,29.0,,0.0,,
Bears D/ST,D/ST,CHI,119.7,11.0,15.0,,,42.0,,119.7,,,,312.0,,,,,,,,,,4.0,5256.0
Jaguars D/ST,D/ST,JAX,92.1,7.0,11.0,,,38.0,,92.1,,,,322.0,,,,,,,,,,3.0,5361.0
Rams D/ST,D/ST,LAR,96.2,9.0,13.0,,,42.0,,96.2,,,,340.0,,,,,,,,,,3.0,5756.0
Bills D/ST,D/ST,BUF,107.4,10.0,16.0,,,34.0,,107.4,,,,331.0,,,,,,,,,,4.0,5464.0
Vikings D/ST,D/ST,MIN,94.7,7.0,11.0,,,41.0,,94.7,,,,328.0,,,,,,,,,,3.0,5376.0
Saints D/ST,D/ST,NO,97.4,9.0,13.0,,,43.0,,97.4,,,,351.0,,,,,,,,,,4.0,5698.0
Chargers D/ST,D/ST,LAC,95.2,7.0,13.0,,,41.0,,95.2,,,,324.0,,,,,,,,,,3.0,5570.0
Patriots D/ST,D/ST,NE,96.4,8.0,14.0,,,38.0,,96.4,,,,326.0,,,,,,,,,,3.0,5589.0
Colts D/ST,D/ST,IND,95.6,10.0,12.0,,,41.0,,95.6,,,,345.0,,,,,,,,,,3.0,5577.0
Broncos D/ST,D/ST,DEN,90.0,9.0,12.0,,,41.0,,90.0,,,,359.0,,,,,,,,,,3.0,5730.0
Greg Zuerlein,K,LAR,139.5,,,,,,45.0,139.5,20.0,,,,,,,,,,,,,,
Justin Tucker,K,BAL,127.1,,,,,,31.0,127.1,20.0,,,,,,,,,,,,,,
Harrison Butker,K,KC,121.0,,,,,,47.0,121.0,16.0,,,,,,,,,,,,,,
Stephen Gostkowski,K,NE,118.9,,,,,,47.0,118.9,16.0,,,,,,,,,,,,,,
Wil Lutz,K,NO,122.7,,,,,,48.0,122.7,16.0,,,,,,,,,,,,,,
Ka'imi Fairbairn,K,HOU,120.9,,,,,,38.0,120.9,18.0,,,,,,,,,,,,,,
Robbie Gould,K,SF,115.9,,,,,,36.0,115.9,17.0,,,,,,,,,,,,,,
