adp,bye,name,pos,team,key
124.3,10,Tom Brady,QB,NE,brady_QB_NE
125.8,10,Adrian Peterson,RB,WAS,peterson_RB_WAS
126.0,12,Austin Ekeler,RB,LAC,ekeler_RB_LAC
126.0,11,Geronimo Allison,WR,GB,allison_WR_GB
126.8,9,Austin Hooper,TE,ATL,hooper_TE_ATL
127.8,6,Devin Funchess,WR,IND,funchess_WR_IND
128.0,10,D'Onta Foreman,RB,HOU,foreman_RB_HOU
129.0,7,James Washington,WR,PIT,washington_WR_PIT
130.5,11,Delanie Walker,TE,TEN,walker_TE_TEN
130.8,10,Jaguars,DST,JAX,jaguars_DST_JAX
131.3,7,Curtis Samuel,WR,CAR,samuel_WR_CAR
132.0,7,Jameis Winston,QB,TB,winston_QB_TB
133.8,8,Ravens,DST,BAL,ravens_DST_BAL
134.5,11,Marquez Valdes-Scantling,WR,GB,valdesscantling_WR_GB
135.5,8,Dak Prescott,QB,DAL,prescott_QB_DAL
135.8,12,Chargers,DST,LAC,chargers_DST_LAC
135.8,10,DeSean Jackson,WR,PHI,jackson_WR_PHI
136.0,9,Ito Smith,RB,ATL,smith_RB_ATL
137.0,6,Trey Burton,TE,CHI,burton_TE_CHI
137.5,10,Keke Coutee,WR,HOU,coutee_WR_HOU
138.5,9,Greg Zuerlein,K,LAR,zuerlein_K_LAR
139.3,11,Dion Lewis,RB,TEN,lewis_RB_TEN
140.0,8,Justin Tucker,K,BAL,tucker_K_BAL
142.5,12,Kyle Rudolph,TE,MIN,rudolph_TE_MIN
142.5,5,T.J. Hockenson,TE,DET,hockenson_TE_DET
143.3,12,Vikings,DST,MIN,vikings_DST_MIN
143.3,8,Lamar Jackson,QB,BAL,jackson_QB_BAL
147.5,10,Damien Harris,RB,NE,harris_RB_NE
149.8,12,Harrison Butker,K,KC,butker_K_KC
149.8,6,Mitch Trubisky,QB,CHI,trubisky_QB_CHI
150.8,10,Texans,DST,HOU,texans_DST_HOU
150.8,7,Browns,DST,CLE,browns_DST_CLE
151.0,11,Jimmy Graham,TE,GB,graham_TE_GB
151.0,6,Parris Campbell,WR,IND,campbell_WR_IND
151.3,12,Kirk Cousins,QB,MIN,cousins_QB_MIN
151.3,4,Matt Breida,RB,SF,breida_RB_SF
152.3,10,Ka'imi Fairbairn,K,HOU,fairbairn_K_HOU
153.3,4,Jimmy Garoppolo,QB,SF,garoppolo_QB_SF
154.5,7,Greg Olsen,TE,CAR,olsen_TE_CAR
155.3,4,Chris Herndon IV,TE,NYJ,herndon_TE_NYJ
155.3,6,Josh Allen,QB,BUF,allen_QB_BUF
156.3,6,Tyrell Williams,WR,OAK,williams_WR_OAK
157.5,6,Anthony Miller,WR,CHI,miller_WR_CHI
157.8,9,Wil Lutz,K,NO,lutz_K_NO
160.5,7,Donte Moncrief,WR,PIT,moncrief_WR_PIT
161.8,6,Nyheim Hines,RB,IND,hines_RB_IND
162.8,10,Stephen Gostkowski,K,NE,gostkowski_K_NE
165.0,10,Jordan Reed,TE,WAS,reed_TE_WAS
165.0,6,Devin Singletary,RB,BUF,singletary_RB_BUF
169.5,10,Noah Fant,TE,DEN,fant_TE_DEN
171.8,8,Michael Gallup,WR,DAL,gallup_WR_DAL
174.8,11,Jamaal Williams,RB,GB,williams_RB_GB
176.0,6,Mike Davis,RB,CHI,davis_RB_CHI
176.5,10,Broncos,DST,DEN,broncos_DST_DEN
177.0,5,Matthew Stafford,QB,DET,stafford_QB_DET
177.3,6,Derek Carr,QB,OAK,carr_QB_OAK
177.5,8,Justice Hill,RB,BAL,hill_RB_BAL
178.0,5,Kalen Ballage,RB,MIA,ballage_RB_MIA
179.3,9,Saints,DST,NO,saints_DST_NO
180.0,5,C.J. Anderson,RB,DET,anderson_RB_DET
183.0,9,Tre'Quan Smith,WR,NO,smith_WR_NO
184.0,8,Cowboys,DST,DAL,cowboys_DST_DAL
184.8,8,Marquise Brown,WR,BAL,brown_WR_BAL
185.3,4,Sam Darnold,QB,NYJ,darnold_QB_NYJ
186.8,12,Alexander Mattison,RB,MIN,mattison_RB_MIN
186.8,4,Marquise Goodwin,WR,SF,goodwin_WR_SF
187.0,10,Dallas Goedert,TE,PHI,goedert_TE_PHI
187.8,10,Patriots,DST,NE,patriots_DST_NE
192.0,6,Adam Vinatieri,K,IND,vinatieri_K_IND
192.3,10,Demaryius Thomas,WR,NE,thomas_WR_NE
192.3,8,Mark Andrews,TE,BAL,andrews_TE_BAL
193.0,10,Eagles,DST,PHI,eagles_DST_PHI
194.0,11,Mason Crosby,K,GB,crosby_K_GB
199.0,5,Kenny Stills,WR,MIA,stills_WR_MIA
199.3,6,John Brown,WR,BUF,brown_WR_BUF
200.8,12,Andy Isabella,WR,ARI,isabella_WR_ARI
201.0,5,Devante Parker,WR,MIA,parker_WR_MIA
201.8,4,Deebo Samuel,WR,SF,samuel_WR_SF
202.5,4,Robbie Gould,K,SF,gould_K_SF
203.0,9,Giovani Bernard,RB,CIN,bernard_RB_CIN
203.3,10,Jake Elliott,K,PHI,elliott_K_PHI
203.8,9,Giorgio Tavecchio,K,ATL,tavecchio_K_ATL
165.0,7,Duke Johnson,RB,CLE,johnson_RB_CLE
208.3,8,Brett Maher,K,DAL,maher_K_DAL
208.3,12,Michael Badgley,K,LAC,badgley_K_LAC
208.5,7,Steelers,DST,PIT,steelers_DST_PIT
211.0,10,DaeSean Hamilton,WR,DEN,hamilton_WR_DEN
212.3,8,Randall Cobb,WR,DAL,cobb_WR_DAL
212.8,5,Matt Prater,K,DET,prater_K_DET
217.0,6,Colts,DST,IND,colts_DST_IND
188.3,10,Nick Foles,QB,JAX,foles_QB_JAX
192.0,6,Jack Doyle,TE,IND,doyle_TE_IND
192.3,12,Chiefs,DST,KC,chiefs_DST_KC
193.0,9,Malcolm Brown,RB,LAR,brown_RB_LAR
194.7,12,Darwin Thompson,RB,KC,thompson_RB_KC
229.3,12,Dan Bailey,K,MIN,bailey_K_MIN
196.3,9,Mohamed Sanu,WR,ATL,sanu_WR_ATL
196.7,6,Jalen Richard,RB,OAK,richard_RB_OAK
200.0,10,Dwayne Haskins,QB,WAS,haskins_QB_WAS
200.0,11,Adam Humphries,WR,TEN,humphries_WR_TEN
200.7,10,Ryquell Armstead,RB,JAX,armstead_RB_JAX
201.7,10,Chris Thompson,RB,WAS,thompson_RB_WAS
203.7,4,Jamison Crowder,WR,NYJ,crowder_WR_NYJ
205.7,11,Jason Myers,K,SEA,myers_K_SEA
208.7,6,Robert Foster,WR,BUF,foster_WR_BUF
209.0,11,A.J. Brown,WR,TEN,brown_WR_TEN
212.7,11,Seahawks,DST,SEA,seahawks_DST_SEA
212.7,5,Albert Wilson,WR,MIA,wilson_WR_MIA
213.3,6,Bills,DST,BUF,bills_DST_BUF
214.0,6,Zay Jones,WR,BUF,jones_WR_BUF
214.3,11,Marcus Mariota,QB,TEN,mariota_QB_TEN
217.3,9,Tyler Eifert,TE,CIN,eifert_TE_CIN
220.0,8,Gus Edwards,RB,BAL,edwards_RB_BAL
223.0,9,Andy Dalton,QB,CIN,dalton_QB_CIN
225.7,8,Jason Witten,TE,DAL,witten_TE_DAL
226.7,6,T.J. Yeldon,RB,BUF,yeldon_RB_BUF
228.3,10,Joe Flacco,QB,DEN,flacco_QB_DEN
229.0,10,Nelson Agholor,WR,PHI,agholor_WR_PHI
234.7,9,Ted Ginn,WR,NO,ginn_WR_NO
235.3,10,Marqise Lee,WR,JAX,lee_WR_JAX
239.3,7,Panthers,DST,CAR,panthers_DST_CAR
240.3,11,Eli Manning,QB,NYG,manning_QB_NYG
241.7,10,Rex Burkhead,RB,NE,burkhead_RB_NE
199.0,11,Aldrick Rosas,K,NYG,rosas_K_NYG
246.0,5,Theo Riddick,RB,DET,riddick_RB_DET
246.7,12,Demarcus Robinson,WR,KC,robinson_WR_KC
249.7,4,Jets,DST,NYJ,jets_DST_NYJ
250.0,11,Packers,DST,GB,packers_DST_GB
250.0,11,Titans,DST,TEN,titans_DST_TEN
251.7,6,Taylor Gabriel,WR,CHI,gabriel_WR_CHI
251.7,6,Cole Beasley,WR,BUF,beasley_WR_BUF
213.0,12,Chase Edmonds,RB,ARI,edmonds_RB_ARI
255.7,7,Graham Gano,K,CAR,gano_K_CAR
257.0,11,Ryan Succop,K,TEN,succop_K_TEN
220.0,10,Trey Quinn,WR,WAS,quinn_WR_WAS
258.0,5,Josh Rosen,QB,MIA,rosen_QB_MIA
224.0,7,Chris Boswell,K,PIT,boswell_K_PIT
261.0,11,David Moore,WR,SEA,moore_WR_SEA
262.0,9,Falcons,DST,ATL,falcons_DST_ATL
229.0,5,Mike Gesicki,TE,MIA,gesicki_TE_MIA
233.0,4,Elijah McGuire,RB,NYJ,mcguire_RB_NYJ
233.0,4,Quincy Enunwa,WR,NYJ,enunwa_WR_NYJ
266.7,6,Frank Gore,RB,BUF,gore_RB_BUF
235.5,10,Josh Doctson,WR,WAS,doctson_WR_WAS
268.0,5,Danny Amendola,WR,DET,amendola_WR_DET
268.0,10,Benjamin Watson,TE,NE,watson_TE_NE
268.7,7,Benny Snell Jr.,RB,PIT,snell_RB_PIT
269.0,6,Doug Martin,RB,OAK,martin_RB_OAK
238.0,8,Tony Pollard,RB,DAL,pollard_RB_DAL
240.5,12,Justin Jackson,RB,LAC,jackson_RB_LAC
242.0,12,Irv Smith Jr.,TE,MIN,smith_TE_MIN
242.5,4,49ers,DST,SF,ers_DST_SF
244.5,7,Antonio Callaway,WR,CLE,callaway_WR_CLE
280.7,10,Redskins,DST,WSH,redskins_DST_WSH
276.0,5,Jesse James,TE,DET,james_TE_DET
278.7,7,Cameron Brate,TE,TB,brate_TE_TB
284.7,12,Cardinals,DST,ARI,cardinals_DST_ARI
288.3,5,Lions,DST,DET,lions_DST_DET
280.0,10,J.J. Arcega-Whiteside,WR,PHI,arcegawhiteside_WR_PHI
280.3,10,Corey Clement,RB,PHI,clement_RB_PHI
282.0,8,Willie Snead,WR,BAL,snead_WR_BAL
258.0,12,Zane Gonzalez,K,ARI,gonzalez_K_ARI
258.5,10,Josh Lambo,K,JAX,lambo_K_JAX
261.0,10,Case Keenum,QB,WAS,keenum_QB_WAS
284.7,9,John Ross,WR,CIN,ross_WR_CIN
284.7,10,Phillip Dorsett,WR,NE,dorsett_WR_NE
261.5,10,Alfred Blue,RB,JAX,blue_RB_JAX
287.3,7,Ian Thomas,TE,CAR,thomas_TE_CAR
289.0,7,Chris Hogan,WR,CAR,hogan_WR_CAR
269.0,8,Kenneth Dixon,RB,BAL,dixon_RB_BAL
270.0,9,Gerald Everett,TE,LAR,everett_TE_LAR
209.0,10,Brandon McManus,K,DEN,mcmanus_K_DEN
216.0,5,Ryan Fitzpatrick,QB,MIA,fitzpatrick_QB_MIA
274.5,10,D.J. Chark,WR,JAX,chark_WR_JAX
295.7,11,Equanimeous St. Brown,WR,GB,brown_WR_GB
279.5,10,Paul Richardson,WR,WAS,richardson_WR_WAS
280.5,12,Hakeem Butler,WR,ARI,butler_WR_ARI
230.0,11,Giants,DST,NYG,giants_DST_NYG
281.0,10,Drew Lock,QB,DEN,lock_QB_DEN
232.0,6,Raiders,DST,OAK,raiders_DST_OAK
282.5,11,Daniel Jones,QB,NYG,jones_QB_NYG
286.0,6,Darren Waller,TE,OAK,waller_TE_OAK
241.0,4,Chandler Catanzaro,K,NYJ,catanzaro_K_NYJ
242.0,7,Bruce Anderson,RB,TB,anderson_RB_TB
243.0,6,Steven Hauschka,K,BUF,hauschka_K_BUF
288.5,12,Ricky Seals-Jones,TE,ARI,sealsjones_TE_ARI
288.5,9,C.J. Uzomah,TE,CIN,uzomah_TE_CIN
308.0,7,Buccaneers,DST,TB,buccaneers_DST_TB
251.0,7,Austin Seibert,K,CLE,seibert_K_CLE
254.0,8,Hayden Hurst,TE,BAL,hurst_TE_BAL
255.0,10,Dustin Hopkins,K,WAS,hopkins_K_WAS
294.5,10,Josh Oliver,TE,JAX,oliver_TE_JAX
311.0,5,Dolphins,DST,MIA,dolphins_DST_MIA
262.0,6,Daniel Carlson,K,OAK,carlson_K_OAK
309.3,10,Jordan Thomas,TE,HOU,thomas_TE_HOU
305.0,10,Chris Conley,WR,JAX,conley_WR_JAX
266.0,9,Tyler Higbee,TE,LAR,higbee_TE_LAR
268.0,6,Riley Ridley,WR,CHI,ridley_WR_CHI
268.0,10,Bryce Love,RB,WAS,love_RB_WAS
300.0,4,Ty Montgomery,RB,NYJ,montgomery_RB_NYJ
269.0,7,Diontae Johnson,WR,PIT,johnson_WR_PIT
270.0,12,Byron Pringle,WR,KC,pringle_WR_KC
301.0,11,Will Dissly,TE,SEA,dissly_TE_SEA
301.0,10,Keelan Cole,WR,JAX,cole_WR_JAX
272.0,4,Bilal Powell,RB,NYJ,powell_RB_NYJ
273.0,7,Greg Joseph,K,CLE,joseph_K_CLE
302.5,6,Deon Cain,WR,IND,cain_WR_IND
276.0,6,Spencer Ware,RB,IND,ware_RB_IND
304.0,6,Hunter Renfrow,WR,OAK,renfrow_WR_OAK
278.0,9,Javorius Allen,RB,NO,allen_RB_NO
309.0,10,Geoff Swaim,TE,JAX,swaim_TE_JAX
305.5,6,Tyler Kroft,TE,BUF,kroft_TE_BUF
280.0,9,Bengals,DST,CIN,bengals_DST_CIN
281.0,10,Jeff Heuerman,TE,DEN,heuerman_TE_DEN
282.0,9,Devine Ozigbo,RB,NO,ozigbo_RB_NO
