key,name,pos,team,bye,std,half_ppr,ppr
hunt_RB_CLE,Kareem Hunt,RB,CLE,13,48.5,52.0,56.2
pitts_TE_ATL,Kyle Pitts,TE,ATL,6,50.3,47.8,46.8
wilson_QB_SEA,Russell Wilson,QB,SEA,9,53.0,59.8,56.2
kupp_WR_LAR,Cooper Kupp,WR,LAR,11,53.0,45.0,46.6
prescott_QB_DAL,Dak Prescott,QB,DAL,7,53.5,57.3,57.2
andrews_TE_BAL,Mark Andrews,TE,BAL,8,54.3,52.0,51.2
lockett_WR_SEA,Tyler Lockett,WR,SEA,9,54.5,50.5,50.4
moore_WR_CAR,D.J. Moore,WR,CAR,13,55.3,52.8,52.6
davis_RB_ATL,Mike Davis,RB,ATL,6,55.5,53.0,53.6
henderson_RB_LAR,Darrell Henderson,RB,LAR,11,57.0,48.3,61.4
herbert_QB_LAC,Justin Herbert,QB,LAC,7,57.5,61.5,63.2
mostert_RB_SF,Raheem Mostert,RB,SF,6,59.0,65.5,70.0
johnson_WR_PIT,Diontae Johnson,WR,PIT,7,59.5,54.8,51.0
edmonds_RB_ARI,Chase Edmonds,RB,ARI,12,61.8,65.3,61.6
hockenson_TE_DET,T.J. Hockenson,TE,DET,9,63.0,56.3,58.2
williams_RB_DEN,Javonte Williams,RB,DEN,11,63.3,65.3,60.6
aiyuk_WR_SF,Brandon Aiyuk,WR,SF,6,63.3,60.3,59.2
harris_RB_NE,Damien Harris,RB,NE,14,66.8,66.8,73.0
beckham_WR_CLE,Odell Beckham Jr.,WR,CLE,13,67.5,70.0,67.4
claypool_WR_PIT,Chase Claypool,WR,PIT,7,68.5,68.0,69.2
gordon_RB_DEN,Melvin Gordon III,RB,DEN,11,68.8,78.8,80.0
brady_QB_TB,Tom Brady,QB,TB,9,69.3,73.5,72.4
thomas_WR_NO,Michael Thomas,WR,NO,6,69.3,76.8,74.4
higgins_WR_CIN,Tee Higgins,WR,CIN,10,69.5,65.8,63.8
chase_WR_CIN,Ja'Marr Chase,WR,CIN,10,70.3,71.5,71.2
golladay_WR_NYG,Kenny Golladay,WR,NYG,10,71.3,74.0,71.4
edwards_RB_BAL,Gus Edwards,RB,BAL,8,73.3,82.3,77.0
jones_RB_TB,Ronald Jones II,RB,TB,9,76.8,74.8,90.6
jeudy_WR_DEN,Jerry Jeudy,WR,DEN,11,77.5,75.8,72.8
smithschuster_WR_PIT,JuJu Smith-Schuster,WR,PIT,7,77.8,82.5,68.8
fournette_RB_TB,Leonard Fournette,RB,TB,9,79.8,88.3,85.8
sutton_WR_DEN,Courtland Sutton,WR,DEN,11,82.5,85.8,79.6
sermon_RB_SF,Trey Sermon,RB,SF,6,83.0,79.0,88.8
smith_WR_PHI,DeVonta Smith,WR,PHI,14,84.3,89.0,76.4
stafford_QB_LAR,Matthew Stafford,QB,LAR,11,84.3,91.5,88.6
tannehill_QB_TEN,Ryan Tannehill,QB,TEN,13,85.0,97.3,96.2
anderson_WR_CAR,Robby Anderson,WR,CAR,13,86.3,81.8,77.8
thomas_TE_WSH,Logan Thomas,TE,WSH,9,86.8,81.5,83.4
samuel_WR_SF,Deebo Samuel,WR,SF,6,88.8,86.5,88.2
moss_RB_BUF,Zack Moss,RB,BUF,7,90.0,95.8,101.6
tonyan_TE_GB,Robert Tonyan,TE,GB,13,90.0,92.0,89.0
boyd_WR_CIN,Tyler Boyd,WR,CIN,10,90.8,92.0,90.6
chark_WR_JAX,D.J. Chark Jr.,WR,JAX,7,91.5,95.5,98.6
