,name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_2018
255,kenny_stills,WR,145.0,91.0,94.81,118.4,
256,randall_cobb,WR,145.0,90.0,101.49,118.5,
257,calvin_ridley,WR,145.0,89.0,46.77,,
258,geronimo_allison,WR,144.0,88.0,61.81,5.0,
259,john_brown,WR,143.0,87.0,70.44,116.1,
260,quincy_enunwa,WR,143.0,87.0,95.28,129.1,
261,josh_doctson,WR,142.0,86.0,89.18,8.0,
262,courtland_sutton,WR,140.0,86.0,45.65,,
263,ted_ginn,WR,138.0,86.0,121.8,,
264,tyrell_williams,WR,138.0,86.0,101.58,134.6,
265,michael_gallup,WR,137.0,84.0,36.58,,
266,dede_westbrook,WR,136.0,84.0,85.74,,
267,keelan_cole,WR,136.0,83.0,103.89,,
268,desean_jackson,WR,136.0,82.0,101.44,140.4,
269,allen_hurns,WR,136.0,82.0,90.13,83.1,
270,paul_richardson,WR,135.0,82.0,64.56,32.5,
271,kenny_golladay,WR,135.0,81.0,103.34,,
272,kelvin_benjamin,WR,132.0,80.0,101.36,119.8,
273,alshon_jeffery,WR,129.0,79.0,108.82,135.3,
274,antonio_callaway,WR,129.0,79.0,29.93,,
275,dj_moore,WR,128.0,77.0,93.2,,
276,seth_roberts,WR,125.0,76.0,,82.2,
277,adam_humphries,WR,124.0,74.0,75.51,63.3,
278,devante_parker,WR,124.0,73.0,100.06,124.8,
279,ryan_grant,WR,121.0,72.0,88.35,19.3,
280,chester_rogers,WR,121.0,70.0,48.3,31.6,
281,christian_kirk,WR,120.0,70.0,43.93,,
282,albert_wilson,WR,117.0,70.0,53.38,40.8,
283,donte_moncrief,WR,116.0,66.0,69.49,60.9,
284,jermaine_kearse,WR,115.0,66.0,89.22,87.4,
285,cameron_meredith,WR,114.0,65.0,100.88,62.1,
286,mike_wallace,WR,112.0,65.0,102.24,112.5,
287,chad_williams,WR,111.0,65.0,66.76,,
288,brandon_marshall,WR,111.0,65.0,44.9,160.4,
289,tyler_lockett,WR,110.0,65.0,77.76,76.7,
290,travis_benjamin,WR,108.0,63.0,81.81,135.9,
291,laquon_treadwell,WR,106.0,63.0,27.49,16.4,
292,dj_chark,WR,104.0,61.0,37.04,,
293,chris_conley,WR,104.0,61.0,68.0,60.0,
294,cole_beasley,WR,103.0,60.0,57.83,99.8,
295,john_ross,WR,103.0,60.0,91.98,,
296,trent_taylor,WR,102.0,60.0,61.5,,
297,tre'quan_smith,WR,100.0,60.0,41.28,,
298,tj_jones,WR,100.0,58.0,41.91,,
299,chris_godwin,WR,99.0,57.0,73.08,,
300,jj_nelson,WR,97.0,57.0,58.29,60.7,
301,danny_amendola,WR,95.0,56.0,129.89,81.6,
302,cordarrelle_patterson,WR,94.0,54.0,39.04,58.6,
303,phillip_dorsett,WR,93.0,54.0,56.13,100.8,
304,terrelle_pryor,WR,93.0,53.0,44.9,,
305,anthony_miller,WR,90.0,51.0,41.93,,
306,zay_jones,WR,88.0,51.0,64.32,,
307,taylor_gabriel,WR,84.0,50.0,58.22,37.2,
308,mike_williams,WR,84.0,50.0,31.43,,
309,willie_snead,WR,83.0,48.0,26.97,115.6,
310,terrance_williams,WR,83.0,48.0,74.59,88.6,
311,taywan_taylor,WR,81.0,45.0,22.51,,
312,cody_latimer,WR,80.0,44.0,52.24,11.1,
313,bruce_ellington,WR,79.0,42.0,67.34,,
314,jaron_brown,WR,78.0,42.0,43.0,19.1,
315,tyler_boyd,WR,77.0,41.0,88.06,72.6,
316,chris_moore,WR,73.0,41.0,30.92,9.4,
317,james_washington,WR,70.0,40.0,102.22,,
318,dante_pettis,WR,69.0,40.0,39.61,,
319,kevin_white,WR,64.0,40.0,82.52,35.9,
320,andre_holmes,WR,63.0,36.0,16.15,35.2,
