,name,pos,pts_espn,pts_cbs,pts_nfl
56,larry_fitzgerald,WR,167.0,182.4,166.2
57,christian_ponder,QB,165.0,229.4,151.7
58,david_wilson,RB,164.0,160.4,179.9
59,reggie_bush,RB,161.0,177.0,207.0
60,eddie_lacy,RB,159.0,136.2,162.5
61,darren_sproles,RB,154.0,153.2,162.0
62,wes_welker,WR,154.0,149.8,140.9
63,mike_wallace,WR,154.0,130.2,137.1
64,ej_manuel,QB,152.0,228.0,119.64
65,victor_cruz,WR,152.0,163.8,157.3
66,demarco_murray,RB,151.0,175.2,206.6
67,marques_colston,WR,150.0,155.2,153.3
68,reggie_wayne,WR,149.0,144.4,173.4
69,james_jones,WR,146.0,138.8,120.4
70,montee_ball,RB,142.0,127.2,178.6
71,ryan_mathews,RB,140.0,128.2,133.2
72,lamar_miller,RB,138.0,161.6,185.0
73,torrey_smith,WR,138.0,136.4,155.1
74,steve_smith,WR,137.0,143.8,157.3
75,matt_flynn,QB,134.0,173.2,120.7
76,eric_decker,WR,134.0,145.2,143.1
77,antonio_brown,WR,134.0,137.2,151.7
78,jordy_nelson,WR,134.0,136.4,149.4
79,sidney_rice,WR,134.0,96.4,117.5
80,rashard_mendenhall,RB,133.0,131.8,151.8
81,tony_gonzalez,TE,133.0,121.2,126.4
82,dwayne_bowe,WR,132.0,153.6,149.1
83,cecil_shorts,WR,131.0,140.4,146.4
84,daryl_richardson,RB,130.0,130.6,111.9
85,desean_jackson,WR,130.0,131.8,153.1
86,giovani_bernard,RB,129.0,142.6,104.4
87,chris_ivory,RB,128.0,120.2,180.6
88,ahmad_bradshaw,RB,128.0,130.4,171.2
89,deangelo_williams,RB,128.0,108.6,112.6
90,shane_vereen,RB,128.0,136.2,109.6
91,steve_johnson,WR,128.0,128.4,137.4
92,benjarvus_green-ellis,RB,127.0,100.4,142.5
93,ty_hilton,WR,126.0,135.8,132.7
94,anquan_boldin,WR,125.0,112.6,135.7
95,hakeem_nicks,WR,124.0,140.2,148.4
96,pierre_garcon,WR,123.0,155.6,147.7
97,mike_williams,WR,123.0,126.8,130.7
98,jason_witten,TE,123.0,123.2,115.4
99,greg_jennings,WR,122.0,113.8,140.8
100,tavon_austin,WR,119.0,131.6,130.8
101,miles_austin,WR,118.0,121.6,133.1
102,josh_gordon,WR,118.0,126.8,
103,lance_moore,WR,117.0,118.0,135.8
104,chris_givens,WR,117.0,125.2,75.7
105,danny_amendola,WR,115.0,144.0,149.4
106,denarius_moore,WR,115.0,104.8,128.4
107,vernon_davis,TE,114.0,118.8,106.8
108,andre_brown,RB,113.0,118.8,110.1
109,golden_tate,WR,112.0,117.8,120.8
110,kendall_wright,WR,112.0,97.6,120.4
111,ronnie_hillman,RB,111.0,105.4,77.9
112,emmanuel_sanders,WR,110.0,103.4,119.2
113,vincent_brown,WR,108.0,105.2,74.4
114,ryan_broyles,WR,107.0,110.2,82.1
115,vick_ballard,RB,106.0,92.2,91.0
116,rueben_randle,WR,105.0,105.2,81.1
117,mark_ingram,RB,103.0,108.2,120.8
118,geno_smith,QB,102.0,153.0,90.22
119,greg_olsen,TE,102.0,99.0,105.4
120,malcom_floyd,WR,99.0,82.0,84.2
121,antonio_gates,TE,99.0,102.6,97.7
122,kyle_rudolph,TE,98.0,94.6,94.9
123,owen_daniels,TE,98.0,89.4,94.7
124,brandon_myers,TE,98.0,88.2,99.7
125,jermichael_finley,TE,98.0,107.0,96.1
126,jared_cook,TE,94.0,102.6,95.7
127,kenny_britt,WR,93.0,131.4,136.2
128,martellus_bennett,TE,93.0,96.0,73.4
129,alshon_jeffery,WR,92.0,108.8,88.7
130,blaine_gabbert,QB,90.0,196.6,115.8
131,andre_roberts,WR,87.0,71.8,90.5
132,deandre_hopkins,WR,86.0,113.2,82.2
133,isaac_redman,RB,85.0,35.6,44.7
134,michael_floyd,WR,84.0,118.6,98.4
135,jacquizz_rodgers,RB,83.0,66.6,98.9
136,jeremy_kerley,WR,83.0,73.6,62.5
137,michael_bush,RB,82.0,68.4,72.0
138,austin_collie,WR,82.0,,50.1
139,brandon_pettigrew,TE,82.0,86.2,87.8
140,brian_hartline,WR,81.0,93.2,90.4
141,mikel_leshoure,RB,80.0,64.0,97.4
142,shonn_greene,RB,80.0,78.4,77.6
143,bilal_powell,RB,80.0,77.8,37.0
144,danny_woodhead,RB,79.0,93.4,97.0
145,braylon_edwards,WR,79.0,,40.9
146,pierre_thomas,RB,78.0,97.6,98.8
147,justin_blackmon,WR,78.0,105.4,111.4
148,fred_davis,TE,78.0,83.2,83.4
149,jacoby_jones,WR,77.0,81.8,55.7
150,le'veon_bell,RB,76.0,88.4,93.1
151,brandon_lafell,WR,76.0,96.8,101.2
152,isaiah_pead,RB,75.0,71.8,120.4
153,bryce_brown,RB,75.0,98.6,74.6
154,greg_little,WR,75.0,91.2,109.1
155,jordan_cameron,TE,75.0,100.2,81.2
156,roy_helu,RB,74.0,67.4,50.5
157,kenbrell_thompkins,WR,74.0,115.2,86.1
158,brandon_lloyd,WR,74.0,,
159,jonathan_stewart,RB,73.0,97.6,152.4
160,johnathan_franklin,RB,73.0,61.0,95.6
161,michael_turner,RB,73.0,,
162,jonathan_dwyer,RB,72.0,71.0,60.8
163,marcel_reece,RB,72.0,53.4,55.6
164,ben_tate,RB,70.0,100.8,97.7
165,santana_moss,WR,70.0,71.6,80.7
166,darrius_heyward-bey,WR,70.0,89.6,102.2
167,julius_thomas,TE,70.0,45.0,
168,bernard_pierce,RB,69.0,100.6,81.2
169,fred_jackson,RB,69.0,88.6,118.2
170,robert_woods,WR,69.0,74.6,63.2
171,andrew_hawkins,WR,69.0,50.0,
172,jermaine_gresham,TE,69.0,63.6,95.3
173,robert_turbin,RB,68.0,46.0,59.7
174,zac_stacy,RB,68.0,61.4,59.0
175,nate_burleson,WR,68.0,78.4,75.7
176,coby_fleener,TE,68.0,80.6,68.5
177,aaron_dobson,WR,67.0,87.6,80.7
178,brian_quick,WR,67.0,44.8,91.8
179,ed_dickson,TE,67.0,58.2,110.2
180,mike_tolbert,RB,66.0,63.6,17.4
181,marcedes_lewis,TE,66.0,73.2,78.1
182,rod_streater,WR,65.0,93.4,
183,brandon_gibson,WR,65.0,66.2,70.4
184,dwayne_allen,TE,65.0,69.4,71.7
185,mohamed_sanu,WR,64.0,89.0,97.2
186,tyler_eifert,TE,64.0,92.4,52.7
187,nick_foles,QB,63.0,54.0,
188,eddie_royal,WR,63.0,,42.9
189,rob_housler,TE,63.0,73.0,56.5
190,brent_celek,TE,63.0,53.2,69.4
191,heath_miller,TE,63.0,71.2,81.8
192,kendall_hunter,RB,62.0,66.4,58.6
193,julian_edelman,WR,62.0,,78.2
194,davone_bess,WR,62.0,72.6,40.1
195,jason_avant,WR,62.0,56.0,18.4
196,daniel_thomas,RB,61.0,73.0,60.5
197,scott_chandler,TE,60.0,54.8,71.4
198,kevin_kolb,QB,59.0,12.0,98.72
199,lance_dunbar,RB,59.0,37.0,27.5
200,riley_cooper,WR,59.0,58.2,73.9
201,zach_miller,TE,59.0,69.2,61.1
202,cordarrelle_patterson,WR,58.0,88.8,70.1
203,justin_hunter,WR,58.0,48.4,43.7
204,santonio_holmes,WR,57.0,78.4,98.4
205,jarius_wright,WR,56.0,66.2,
206,josh_morgan,WR,56.0,63.8,76.7
207,dexter_mccluster,WR,56.0,66.2,45.4
208,keenan_allen,WR,55.0,71.0,
209,jacoby_ford,WR,55.0,50.8,51.1
210,delanie_walker,TE,55.0,65.4,69.6
211,larod_stephens-howling,RB,54.0,68.8,
212,joseph_randle,RB,53.0,46.6,55.3
213,willis_mcgahee,RB,53.0,,97.5
214,cedric_benson,RB,53.0,,
215,nate_washington,WR,53.0,52.6,70.8
216,leonard_hankerson,WR,53.0,62.2,22.9
217,zach_sudfeld,TE,53.0,58.8,
218,zach_ertz,TE,53.0,27.2,47.1
219,dujuan_harris,RB,52.0,53.0,
220,toby_gerhart,RB,52.0,43.2,52.8
221,rashad_jennings,RB,52.0,52.2,45.4
222,doug_baldwin,WR,52.0,43.2,48.8
223,donnie_avery,WR,52.0,69.8,88.0
224,kellen_winslow,TE,52.0,49.2,
225,lamichael_james,RB,51.0,55.6,44.1
226,joique_bell,RB,51.0,84.4,59.6
227,stephen_hill,WR,51.0,65.2,96.8
228,domenik_hixon,WR,50.0,50.2,45.4
229,dallas_clark,TE,50.0,54.0,
230,chad_henne,QB,49.0,63.4,
231,ryan_williams,RB,49.0,42.0,77.8
232,justin_forsett,RB,49.0,33.0,25.4
233,kenny_stills,WR,49.0,66.6,39.4
234,travis_kelce,TE,49.0,50.2,
235,christine_michael,RB,48.0,44.8,41.5
236,mike_gillislee,RB,48.0,34.2,44.3
237,jordan_shipley,WR,48.0,42.0,22.8
238,terrance_williams,WR,47.0,,69.6
239,quinton_patton,WR,47.0,,46.6
240,luke_stocker,TE,47.0,24.8,47.4
241,mark_sanchez,QB,46.0,57.0,104.06
242,harry_douglas,WR,46.0,48.0,37.1
243,knile_davis,RB,44.0,66.2,49.9
244,jerome_simpson,WR,44.0,,44.7
245,tony_scheffler,TE,43.0,47.2,69.3
246,dwayne_harris,WR,42.0,,46.3
247,jacob_tamme,TE,40.0,47.2,42.4
248,tj_graham,WR,39.0,46.6,31.7
249,tom_crabtree,TE,39.0,31.8,16.4
250,ronnie_brown,RB,38.0,13.4,47.5
251,earl_bennett,WR,38.0,50.2,47.1
252,brandon_jackson,RB,37.0,,
253,beanie_wells,RB,37.0,,
254,david_paulson,TE,37.0,,
255,markus_wheaton,WR,36.0,72.2,36.8
256,aj_jenkins,WR,36.0,,57.9
257,corey_fuller,WR,36.0,,
258,tiquan_underwood,WR,36.0,,51.1
259,kyle_williams,WR,35.0,,61.1
260,knowshon_moreno,RB,34.0,54.8,44.5
261,shaun_draughn,RB,34.0,16.4,24.2
262,stedman_bailey,WR,34.0,,55.8
263,louis_murphy,WR,34.0,,35.4
264,kirk_cousins,QB,33.0,26.6,0.0
265,jon_baldwin,WR,33.0,41.2,62.1
266,taylor_thompson,TE,33.0,,
267,lestar_jean,WR,32.0,,
268,felix_jones,RB,31.0,,54.9
269,michael_crabtree,WR,31.0,47.8,
270,marvin_jones,WR,31.0,,56.9
271,tandon_doss,WR,31.0,,27.4
272,matt_cassel,QB,30.0,11.8,0.0
273,jason_snelling,RB,30.0,21.6,31.7
274,jason_campbell,QB,29.0,11.4,0.0
275,bruce_gradkowski,QB,29.0,4.6,
276,andre_ellington,RB,29.0,18.6,
277,robert_meachem,WR,29.0,,34.7
278,josh_boyce,WR,29.0,,31.2
279,evan_royster,RB,28.0,24.4,31.9
280,montario_hardesty,RB,27.0,24.2,32.5
281,donald_brown,RB,26.0,32.2,46.1
282,percy_harvin,WR,24.0,,
283,chris_polk,RB,23.0,22.2,
284,stepfan_taylor,RB,23.0,31.4,16.1
285,aaron_mellette,WR,23.0,,
286,da'rick_rogers,WR,22.0,,
287,mike_goodson,RB,21.0,12.4,75.9
288,chris_ogbonnaya,RB,20.0,,
289,mario_manningham,WR,20.0,,57.7
290,marlon_moore,WR,19.0,,
291,brandon_bolden,RB,18.0,15.0,
292,bernard_scott,RB,18.0,,10.4
293,peyton_hillis,RB,17.0,,59.3
294,latavius_murray,RB,16.0,27.0,51.5
295,rex_burkhead,RB,15.0,,
296,nick_toon,WR,15.0,,
297,delone_carter,RB,14.0,23.0,
298,le'ron_mcclain,RB,14.0,,9.0
299,joe_mcknight,RB,12.0,,33.1
300,armando_allen,RB,12.0,17.2,
301,leon_washington,RB,11.0,,
302,alex_green,RB,11.0,,
303,legarrette_blount,RB,10.0,52.4,31.5
304,denard_robinson,RB,10.0,48.6,51.7
305,tashard_choice,RB,8.0,,
306,cierre_wood,RB,7.0,,
307,anthony_allen,RB,6.0,,
308,da'rel_scott,RB,6.0,,
309,james_starks,RB,4.0,,27.0
310,ray_graham,RB,0.0,,
311,cyrus_gray,RB,0.0,,
312,kenjon_barner,RB,0.0,18.6,
313,terrance_ganaway,RB,0.0,,
314,kerwynn_williams,RB,0.0,,
315,marcus_lattimore,RB,0.0,,
316,brandon_jacobs,RB,0.0,,
317,javon_ringer,RB,0.0,,
318,jackie_battle,RB,0.0,,
319,mike_james,RB,0.0,23.2,
320,terrelle_pryor,QB,,90.6,35.82
321,james_casey,TE,,72.2,38.8
322,brandon_stokley,WR,,52.2,
323,jeff_cumberland,TE,,52.2,26.7
324,damaris_johnson,WR,,49.8,
325,david_ausberry,TE,,49.2,27.4
326,jerricho_cotchery,WR,,47.2,32.7
327,joel_dreessen,TE,,47.0,38.7
328,anthony_fasano,TE,,46.0,37.3
329,juron_criner,WR,,43.2,
330,travis_benjamin,WR,,42.8,45.4
331,tony_moeaki,TE,,38.2,45.4
332,garrett_graham,TE,,36.8,
333,charles_clay,TE,,34.8,
334,john_kuhn,RB,,29.6,
335,matt_barkley,QB,,26.0,0.0
336,dion_lewis,RB,,25.2,28.1
337,benjamin_watson,TE,,24.8,52.1
338,lance_kendricks,TE,,24.2,51.4
339,brian_leonard,RB,,22.2,13.5
340,jeff_king,TE,,21.0,17.4
341,ryan_fitzpatrick,QB,,21.0,
342,phillip_tanner,RB,,17.2,
343,jorvorskie_lane,RB,,16.0,
344,jed_collins,RB,,14.0,
345,tim_tebow,QB,,5.8,
346,graham_harrell,QB,,5.2,
347,drew_stanton,QB,,5.0,
348,charlie_whitehurst,QB,,4.8,
349,tyrod_taylor,QB,,4.8,
350,tyler_wilson,QB,,4.0,
351,dennis_dixon,QB,,3.8,0.0
352,brian_hoyer,QB,,2.8,
353,brock_osweiler,QB,,2.8,
354,chase_daniel,QB,,2.2,0.0
355,josh_mccown,QB,,1.8,
356,kyle_orton,QB,,1.8,
357,ryan_mallett,QB,,1.8,
358,shaun_hill,QB,,1.8,
359,curtis_painter,QB,,1.0,
360,dan_orlovsky,QB,,0.0,
361,david_carr,QB,,0.0,0.0
362,tj_yates,QB,,0.0,
363,jake_ballard,TE,,,59.8
364,ace_sanders,WR,,,59.1
365,laurent_robinson,WR,,,50.4
366,plaxico_burress,WR,,,49.9
367,vance_mcdonald,TE,,,46.9
368,devin_hester,WR,,,46.1
369,craig_stevens,TE,,,45.4
370,randy_moss,WR,,,44.3
371,ramses_barden,WR,,,40.7
372,courtney_roby,WR,,,39.1
373,derek_hagan,WR,,,38.5
374,kevin_walter,WR,,,37.2
375,michael_jenkins,WR,,,35.4
376,marquise_goodwin,WR,,,35.3
377,aldrick_robinson,WR,,,34.7
378,austin_pettis,WR,,,34.1
379,rishard_matthews,WR,,,33.1
380,kevin_ogletree,WR,,,32.5
381,josh_cribbs,WR,,,31.5
382,lavon_brazill,WR,,,31.1
383,mike_thomas,WR,,,30.4
384,justin_brown,WR,,,29.4
385,keshawn_martin,WR,,,29.1
386,eric_weems,WR,,,28.7
387,deion_branch,WR,,,28.6
388,charles_johnson,WR,,,28.3
389,ryan_swope,WR,,,28.1
390,david_reed,WR,,,27.1
391,david_thomas,TE,,,27.1
392,matthew_slater,WR,,,26.5
393,jamie_harper,RB,,,26.4
394,tavarres_king,WR,,,26.1
395,andre_caldwell,WR,,,25.3
396,ben_obomanu,WR,,,24.6
397,devier_posey,WR,,,23.4
398,marquess_wilson,WR,,,23.1
399,ted_ginn,WR,,,22.7
400,chaz_schilens,WR,,,22.7
401,kevin_dorsey,WR,,,22.1
402,brandon_tate,WR,,,22.0
403,chris_harper,WR,,,21.4
404,devin_aromashodu,WR,,,20.4
405,damian_williams,WR,,,20.1
406,vonta_leach,RB,,,19.2
407,kris_durham,WR,,,18.9
408,david_nelson,WR,,,18.8
409,deon_butler,WR,,,18.7
410,lavelle_hawkins,WR,,,18.6
411,jordan_reed,TE,,,17.3
412,taiwan_jones,RB,,,17.2
413,billy_bajema,TE,,,12.8
414,owen_marecic,RB,,,11.7
415,montell_owens,RB,,,11.5
416,shaun_chapas,RB,,,10.0
417,michael_robinson,RB,,,10.0
418,niles_paul,TE,,,9.4
419,clay_harbor,TE,,,6.8
420,derek_anderson,QB,,,0.0
421,richard_bartel,QB,,,0.0
422,charlie_batch,QB,,,0.0
423,jimmy_clausen,QB,,,0.0
424,kellen_clemens,QB,,,0.0
425,bj_daniels,QB,,,0.0
426,jake_delhomme,QB,,,0.0
427,zac_dysert,QB,,,0.0
