key,adp_8_ppr,bye,name,pos,team,adp_8_standard,adp_10_ppr,adp_10_standard,adp_12_ppr,adp_12_standard,adp_14_ppr,adp_14_standard
mixon_RB_CIN,12,9,Joe Mixon,RB,CIN,10,12,10,12,10,11,10
moncrief_WR_PIT,,,,,,,138,160,133,148,141,157
montgomery_RB_CHI,43,6,David Montgomery,RB,CHI,57,41,39,41,38,41,46
moore_WR_CAR,68,7,D.J. Moore,WR,CAR,78,65,78,60,76,67,77
moore_WR_SEA,,,,,,,,,,,,180
murray_QB_FA,87,12,Kyler Murray,QB,FA,99,88,92,90,98,90,101
murray_RB_NO,86,9,Latavius Murray,RB,NO,89,82,82,82,82,81,83
myers_K_SEA,,,,,,,,,,,,238
newton_QB_CAR,94,7,Cam Newton,QB,CAR,97,100,103,104,108,102,104
njoku_TE_CLE,100,7,David Njoku,TE,CLE,104,95,100,91,90,89,88
ollison_RB_ATL,,,,,,,,,,,188,187
olsen_TE_CAR,104,7,Greg Olsen,TE,CAR,127,144,138,155,154,146,151
packers_DST_GB,,,,,,,,,,,228,234
panthers_DST_CAR,,,,,,,,,,,,230
parker_WR_MIA,,,,,,,,,167,184,161,190
patriots_DST_NE,,,,,,139,166,172,199,197,203,213
penny_RB_SEA,83,11,Rashaad Penny,RB,SEA,77,79,69,78,66,77,70
peterson_RB_WAS,114,10,Adrian Peterson,RB,WAS,124,139,120,127,112,122,111
pettis_WR_SF,77,4,Dante Pettis,WR,SF,87,78,89,76,87,79,90
prater_K_DET,,,,,,,,,204,207,232,236
prescott_QB_DAL,123,8,Dak Prescott,QB,DAL,108,133,130,131,132,139,146
rams_DST_LAR,93,9,Rams,DST,LAR,91,102,102,112,111,116,119
ravens_DST_BAL,111,8,Ravens,DST,BAL,119,123,122,135,128,137,134
reed_TE_WAS,,,,,,,,175,174,168,198,203
ridley_WR_ATL,52,9,Calvin Ridley,WR,ATL,65,48,57,49,58,51,57
rivers_QB_LAC,126,12,Philip Rivers,QB,LAC,85,114,95,118,93,120,91
robinson_WR_CHI,81,6,Allen Robinson,WR,CHI,83,84,86,81,85,82,85
rodgers_QB_GB,47,11,Aaron Rodgers,QB,GB,44,54,49,56,50,55,48
roethlisberger_QB_PIT,109,7,Ben Roethlisberger,QB,PIT,118,122,117,124,121,125,125
rosas_K_NYG,,,,,,,,,,,234,233
ross_WR_CIN,,,,,,,,,,,220,225
rudolph_TE_MIN,,,,,,,,149,165,175,163,169
ryan_QB_ATL,66,9,Matt Ryan,QB,ATL,63,70,66,75,70,74,63
saints_DST_NO,,,,,,146,165,171,198,196,200,210
samuel_WR_CAR,,,,,,,124,127,125,125,131,133
samuel_WR_FA,,,,,,,,,169,199,166,192
samuels_RB_PIT,122,7,Jaylen Samuels,RB,PIT,102,115,112,106,107,109,112
sanders_RB_FA,91,12,Miles Sanders,RB,FA,94,85,83,87,84,85,84
sanders_WR_DEN,113,10,Emmanuel Sanders,WR,DEN,116,134,116,134,116,133,118
sanu_WR_ATL,,,,,,,,,,,227,170
seahawks_DST_SEA,,,,,,,,,,,209,214
seferianjenkins_TE_NE,,,,,,,,,,,,188
shepard_WR_NYG,89,11,Sterling Shepard,WR,NYG,92,90,94,88,92,94,92
singletary_RB_FA,,,,,,,149,158,138,134,126,126
smith_RB_ATL,,,,,,,128,126,117,117,113,116
smith_WR_NO,,,,,,,,169,177,187,171,172
smithschuster_WR_PIT,16,7,JuJu Smith-Schuster,WR,PIT,18,15,18,15,18,15,18
snead_WR_BAL,,,,,,,,,,,,140
stafford_QB_DET,,,,,,,,176,195,180,181,166
steelers_DST_PIT,,,,,,,,,,172,214,218
stills_WR_MIA,,,,,,,,,173,176,196,184
sutton_WR_DEN,140,10,Courtland Sutton,WR,DEN,130,113,105,114,104,119,107
tate_WR_NYG,106,11,Golden Tate,WR,NYG,110,106,151,107,136,108,131
tavecchio_K_ATL,151,9,Giorgio Tavecchio,K,ATL,156,169,179,202,203,205,231
texans_DST_HOU,146,10,Texans,DST,HOU,132,159,152,160,146,155,149
thielen_WR_MIN,23,12,Adam Thielen,WR,MIN,29,23,32,23,32,23,28
thomas_WR_NE,,,,,,,,,188,185,191,162
thomas_WR_NO,10,9,Michael Thomas,WR,NO,15,10,13,10,11,10,14
thompson_RB_KC,152,12,Darwin Thompson,RB,KC,,,,164,162,179,168
thompson_RB_WAS,,,,,,,,,166,,169,239
trubisky_QB_CHI,,,,,,,164,147,163,155,158,160
tucker_K_BAL,115,8,Justin Tucker,K,BAL,121,135,132,159,153,168,171
valdesscantling_WR_GB,121,11,Marquez Valdes-Scantling,WR,GB,151,107,140,113,135,118,155
vikings_DST_MIN,133,12,Vikings,DST,MIN,138,137,133,145,139,147,137
vinatieri_K_IND,141,6,Adam Vinatieri,K,IND,157,171,173,200,193,202,202
walker_TE_TEN,131,11,Delanie Walker,TE,TEN,117,136,139,149,131,135,122
washington_WR_PIT,,,,,,,141,123,132,127,132,128
watkins_WR_KC,65,12,Sammy Watkins,WR,KC,56,67,62,66,63,62,60
watson_QB_HOU,51,10,Deshaun Watson,QB,HOU,49,58,55,62,55,59,56
watson_TE_NE,,,,,,,,,,171,,
wentz_QB_PHI,76,10,Carson Wentz,QB,PHI,80,81,85,86,86,88,79
westbrook_WR_JAX,124,10,Dede Westbrook,WR,JAX,129,110,121,108,119,114,130
white_RB_NE,63,10,James White,RB,NE,82,59,77,57,79,57,76
williams_RB_GB,,,,,,,,,184,195,186,177
williams_RB_KC,21,12,Damien Williams,RB,KC,20,21,20,21,20,21,20
williams_WR_LAC,62,12,Mike Williams,WR,LAC,52,61,56,59,56,60,53
williams_WR_OAK,,,,,,,163,165,143,163,143,159
wilson_QB_SEA,79,11,Russell Wilson,QB,SEA,72,89,79,93,81,87,82
wilson_WR_MIA,,,,,,,,,,,204,
winston_QB_TB,120,7,Jameis Winston,QB,TB,122,111,114,115,114,117,120
woods_WR_LAR,46,9,Robert Woods,WR,LAR,48,43,50,45,49,45,51
yeldon_RB_BUF,,,,,,,,,,,192,195
zuerlein_K_LAR,108,9,Greg Zuerlein,K,LAR,113,127,125,151,151,156,154
