key,name,pos,team,bye,std,half_ppr,ppr
williams_RB_NO,Jamaal Williams,RB,NO,12,274.5,266.0,240.0
williams_WR_DET,Jameson Williams,WR,DET,5,115.0,124.0,121.0
williams_WR_NYJ,Mike Williams,WR,NYJ,12,141.0,155.3,141.6
wilson_QB_DEN,Zach Wilson,QB,DEN,14,,,275.0
wilson_QB_PIT,Russell Wilson,QB,PIT,9,197.0,174.0,210.2
wilson_RB_GB,Emanuel Wilson,RB,GB,10,,,449.0
wilson_WR_ARI,Michael Wilson,WR,ARI,11,158.0,158.0,201.3
wilson_WR_NYJ,Garrett Wilson,WR,NYJ,12,13.0,12.7,13.6
wilson_WR_PHI,Johnny Wilson,WR,PHI,5,,,331.0
wilson_WR_PIT,Roman Wilson,WR,PIT,9,199.5,199.5,210.0
winfree_WR_IND,Juwann Winfree,WR,IND,14,,,423.0
winston_QB_CLE,Jameis Winston,QB,CLE,10,,,315.0
woods_TE_IND,Jelani Woods,TE,IND,14,255.5,255.5,266.0
woods_WR_HOU,Robert Woods,WR,HOU,14,,,489.0
worthy_WR_KC,Xavier Worthy,WR,KC,6,87.0,97.0,96.0
wright_RB_MIA,Jaylen Wright,RB,MIA,6,142.0,152.0,168.8
wright_TE_DET,Brock Wright,TE,DET,5,,,267.0
york_K_CLE,Cade York,K,CLE,10,,,344.0
young_QB_CAR,Bryce Young,QB,CAR,11,188.0,188.0,216.3
zuerlein_K_NYJ,Greg Zuerlein,K,NYJ,12,253.0,232.5,174.0
